Tweet ID,Text,Final Decision,Assigned To,Label_eden,Reasons_eden,Label_lior,Reasons_lior,Label_ofek,Reasons_ofek,Label_אורי כהן,Reasons_אורי כהן,Label_אילון כהן,Reasons_אילון כהן,Label_אריאל כהן,Reasons_אריאל כהן,Label_בנימין ווליך,Reasons_בנימין ווליך,Label_הודיה עופרי,Reasons_הודיה עופרי,Label_הילי חכמי,Reasons_הילי חכמי,Label_זיו חסון,Reasons_זיו חסון,Label_ענה-יה אך,Reasons_ענה-יה אך,Label_צבי גופרי,Reasons_צבי גופרי,Label_תומר חוכימה,Reasons_תומר חוכימה
9aadjgqun,"""Having Pride in Teachings of Islam 

Shaykh Ahmad Musa Jibril",Salafi jihadi,צבי גופרי;אילון כהן,,,,,,,,,Salafi jihadi,ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות,,,,,,,,,,,,,Salafi jihadi,ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות,,
t554t68ga,"""This moronic kid doesnt realize that the stupid kid who makes Takfir of Shaykh Al Islam Ibn Taymiyyah, did so because he shares the same understanding of Ibn Taymiyyah as this moronic Madkhali. Both believe that Ibn Taymiyyah gives excuse of ignorance in the label of a Mushrik, and thats factually not the case, and Ive proven that multiple times in my videos. Shaykh Al Islam is explicit that the label of Mushrik is given even before Rislah, which is even more unaware of a state, than an ignorant person whos heard the Quran.

Whether ignorance is a valid excuse not to apply the Hukm of Takfir, is an Ikhtilaf the Scholars do have. Takfir as a term is a Hukm Sharii, hence you see Udhr bil Jahl being discussed with respect to it.

Both of the aforementioned morons have the same understanding in reality, however one due to his idiocy and Ghulu led him down an extreme path, and one due to his idiocy and Irja led him on an opposite and equally extreme path. 

Both are gateways to Zandaqa, and we ask Allah for Salamah.""",Salafi jihadi,אילון כהן;אריאל כהן,,,,,,,,,Salafi jihadi,ד. תמיכה בתכפיר קולקטיבי; ביקורת על סלאפים תקלידיים,Salafi jihadi,ביקורת על סלאפים תקלידיים,,,,,,,,,,,,,,
8xoav1yxl,"""Why the Hanafs consider the opening takbr a condition of the prayer as opposed to the majority who consider it a pillar?

Gems of Fiqh, from Shaykh Abdul Karm al-Khudayrs dars on the Description of the Prophets Prayer.",Salafi taklidi,אריאל כהן;בנימין ווליך,,,,,,,,,,,Salafi taklidi,,Salafi taklidi,,,,,,,,,,,,,
kmucb1gh9,"""How the Najdi scholars refuted the extremists

In the name of Allah, the Most Merciful, the Bestower of Mercy.

From: Abd al-Laf ibn Abd al-Ramn ibn asan
To: Abd al-Azz al-Khab

Peace be upon those who follow guidance, and upon the righteous servants of Allah.

To proceed:

I have read your letter and understood its contents, and what you intended by way of apology. However, you erred in your statement that what our shaykh, the father, denounced, namely your declaring the people of truth to be disbelievers, and your belief that you are correct, when you denied it.

You mentioned that your brothers from al-Naq are disputing with you and are arguing with you concerning us, and that they say that we have been silent regarding certain matters. And you know that they often mention this to attack our creed and to criticize our methodology. Even if they do not explicitly make Takfeer, they have approached its borders. So we seek refuge in Allah from misguidance after being upon guidance, from deviating away from the path of rectitude, and from blindness.

I witnessed, in the year 64, two men resembling you who were among the renegades in al-As. They abandoned the Friday prayer and the congregational prayer, and declared the Muslims of that land to be disbelievers. Their argument was similar to yours. They said: The people of al-As sit with Ibn Fayrz and mix with him and others like him, those who did not reject the ght by disbelieving in it, nor explicitly declare his grandfather to be a disbeliever who rejected the call of Shaykh Muammad, and did not accept it, and instead opposed it.

They both said: Whoever does not explicitly declare him to be a disbeliever is himself a disbeliever in Allah and has not rejected the ght by disbelieving in it. And whoever sits with him is like him. And upon these two false and misguided premises, they built rulings implying clear apostasy, such that they even abandoned returning greetings of Salam.

Their matter was raised to me, so I summoned them, threatened them, and spoke harshly to them. At first, they claimed that they were upon the creed of Shaykh Muammad ibn Abd al-Wahhb, and that his letters were with them. So I clarified their errors and refuted their misconceptions with what I had in that gathering.

I informed them that Shaykh Muammad is free from this belief and this path, and that he does not declare anyone to be a Kaafir except for those matters that the Muslims have unanimously agreed upon that makes one a Kaafir, such as major shirk, or rejecting the verses of Allah and His messengers, or any of that, after the proof has been shown to him and is properly conveyed. Such as making Takfeer on the one who worships the righteous, prays to them alongside Allah, and for making them His rivals in what He alone deserves in worship and authority over the creation.

This is agreed upon by the people of knowledge and faith. Every group among the followers of the various upheld Mazhabs has devoted a major chapter to this issue, mentioning its rulings, and that which causes apostasy and its implications, and explicitly mentioning Shirk. Ibn ajar even singled out this issue in a book he titled: al-Ilm bi-Qawi al-Islm (Informing about the Nullifiers of Islam).

These two Persians later showed repentance and remorse and claimed that the truth had become clear to them. Then they went to the coast and returned to that same doctrine. It reached us that they declared the leaders of the Muslims to be Kaafirs for communicating with the Egyptian rulers. Rather, they even declared as disbelievers those among the Muslim scholars who associated with those who communicated with them. We seek refuge in Allah from misguidance after being upon guidance and from relapse after rectitude.

We have also been informed about similar matters regarding you. And that you ....

Continued  """,Salafi taklidi,בנימין ווליך;הודיה עופרי,,,,,,,,,,,,,Salafi taklidi,,Salafi taklidi,,,,,,,,,,,
xqum115bs,"""What Shaykh Abu Mundhir ash Shanqiti said about those who allow US embassies, is equally true about those who allow Jewish embassies:

""As for the situation where America kills whichever Muslims it pleases, occupies whichever Muslim lands it pleases, violates honor, desecrates sanctities, and dishonors Islamic sacred things, and yet certain states in Muslim lands maintain relations, exchange ambassadors with it, and enable it to achieve its interests in Muslim lands as if it were any other peaceful, non-belligerent state, this amounts to allying with it in its war against Islam and assisting it in fighting Muslims.""""",Salafi jihadi,הודיה עופרי;הילי חכמי,,,,,,,,,,,,,,,Salafi jihadi,ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות,Salafi jihadi,ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות,,,,,,,,
b41soadp3,"""""You'll never find a man saying Red pill and misogyny is kuffr btw""
""
--------------

Feminism in of itself is a ideological movement that can lead to kufr (Hadith rejection, Quranic distortion, and insulting Allah) 

Red Pill has always been called kufr by Muslims, and misogyny is a loaded term whose definition can be or cant be kufr",Irrelevant,זיו חסון;ענה-יה אך,,,,,,,,,,,,,,,,,,,Skip,"מתלבטת מכיוון שפחות בקיאה בהתייחסות של הזרמים האסלאמיים לפמיניזם. 
אני חושבת שזה לכל הפחות סלפי תקלידי: התגובה למטה מחזקת שפמיניזם יכול להוביל לכפירה, והנימוק שכתוב בסוגריים מאפיין מאוד את האידיאולוגיה הסלפית.",Irrelevant,,,,,
ds0tui1jl,"""One of the people of knowledge said a while back that the Madkhalis will keep splitting &amp; fighting each other until there is no one left on the Manhaj. This is what we see today, constant internal refutations &amp; bickering over issues that arent even foundational.""",Salafi jihadi,ענה-יה אך;צבי גופרי,,,,,,,,,,,,,,,,,,,,,Irrelevant,,Salafi jihadi,ביקורת על סלאפים תקלידיים,,
ebr8sd1ld,"""The person who narrates this to abdurrazaq was called a liar by imam ahmad",Irrelevant,צבי גופרי;אילון כהן,,,,,,,,,Irrelevant,,,,,,,,,,,,,,Irrelevant,,,
tr9rhu4wt,"""Haatim al-Awni is a huge fan of MBS, yet some people want you believe he is some sort of Shaykhul Islam of our time.",Irrelevant,אילון כהן;אריאל כהן,,,,,,,,,Salafi jihadi,ב. ביטויי גנאי או האשמה בכפירה של חכמי הלכה,Irrelevant,,,,,,,,,,,,,,,
0w47dj02r,"""Shia Worship Ali.  They seek protection from him just like us Muslims seek protection from Allah. They replace Allah with Ali in their Dua. Not all Shia are kuffar but majority of them are because of this Paganism! May Allah guide them.""",Irrelevant,בנימין ווליך;הודיה עופרי,,,,,,,,,,,,,Irrelevant,,Irrelevant,,,,,,,,,,,
my71cf2ye,"""@ECiocu Din cte tiu, au rmas 14% nc active qanat-urile  de mare adncime de 80 km ( e un sistem important pentru zona Yazd / kerman ).n Teheran 90% din cele 220 au fost secate . Deci,  dac va intereseaz o vizit dup eliberare, zona Yazd / kerman este destinaia.""",Irrelevant,הילי חכמי;זיו חסון,,,,,,,,,,,,,,,,,Irrelevant,,Irrelevant,,,,,,,
kvgyekotw,"""Did Imam Muhammad Ibn Abd al-Wahhb   Excuse Ignorance in Major Shirk?",Salafi taklidi,זיו חסון;ענה-יה אך,,,,,,,,,,,,,,,,,,,Salafi taklidi,,Skip,ספק האם יש כאן  סימן של כבוד בלהגיד אימאם לאבן אבדול ווהב שיכול להוכיח שהפוסט הוא סלפי כלשהו או שבכלל לא,,,,
yg4ebocg2,"""1) The referenced tweet is in the context of Gaza being slaughtered by the apes and swines. In response to this Zindiqs scholars dishing out satanic fatwas that no one is allowed to help them physically without the rulers permission. Open up a book of Fiqh and read about   you Zindq. Already exposed the ignorance of these Zanadiqa here: 

2) Again, hes talking about the Jihad of the Palestinians against Israel, and you bring statements of Al-Hafidh Ibn Hajar about the Qadiyyah, to try and prove hes inciting against the ruler. So youre implying Israel is the ruler who is to be obeyed and not rebelled against, nor spoken against, nor incited against? Great refutation and self expos of you being a now out of the closet Zionist. Lol

3) You Zanadiqa MBS/MBZ worshippers cant tell the difference between an actual sinful Muslim ruler and a Taghut whom Allah conditions our Islam with Hating and Rejecting, and in turn apply the rights of the former on the latter.

4) You Zanadiqa have yet to bring a single incident from the Salaf, of your applied understanding. Bring a SINGLE instance, where a Muslim ruler (let alone a Kafir like we have nowadays), was criticized for open Fisq he was committing, whether in front of his face, or behind his back, and the Salaf called the one who criticizing him a Khariji. Ill wait, and this is an open challenge. Unless youre implying Islam was missing this crucial applied understanding for 1400+ years, until spubs came along in junction with Prevent (UK Gov agency) to show us the way of the salaf. Lol

5) Ive brought multiple instances of Salaf criticizing to the rulers face, behind the rulers back, and even making Takfir of rulers behind their back here: 

6) Not a single one of you minions has brought forth his statements in their appropriate context (ever), and refuted it academically. You just rely on others being as incompetent as you.

7) This is all coming from an Abu Khadeejah fanboy mind you, who is viewed as a scholar according to these morons. A guy whom my 4 year old   can recite better Quran than. 

The Jahmis and Madkhalis are in a close race to win out, who is the most intellectually brain dead group ascribing itself to Islam. The new age Madkhalis are making a strong case to be honest.""",Salafi jihadi,ענה-יה אך;צבי גופרי,,,,,,,,,,,,,,,,,,,,,Salafi jihadi,ג. קריאה לג׳האד התקפי (לא הגנתי),Salafi jihadi,א. האשמה בכפירה של שליטי ערב; ב. ביטויי גנאי או האשמה בכפירה של חכמי הלכה; ביקורת על סלאפים תקלידיים,,
wov6rjqup,"""Al-Fudayl ibn Iyad, may Allah have mercy on him, said:
If you see oppressors taking revenge on other oppressors, stand and observe in astonishment.

When you see the greatest enemies of Islam in this era, those with the most blood of Muslims on their hands, turning against one another and weakening themselves through their conflicts, let your heart be soothed and turn to Allah in gratitude.

Sometimes, Allah soothes hearts by letting oppressors and tyrants orchestrate their own downfall through their conflicts and wars.

We make the wrongdoers destructive to one another because of their misdeeds. (6:129)

The parties involved in this war, the US along with their awliy, the leaders of the Gulf, as well as the Rafidah and the Yahud, are enemies, equally guilty and steeped in crimes against Islam and Muslims. Their hands are stained with the blood of countless innocents, and to true believers who grasp the depth of their kufr and the enormity of their crimes, each is as condemned as the next, none surpassing the other in guilt. They vied ruthlessly in their oppression and in betraying the Muslims.

Malik ibn Dinar, may Allah have mercy on him, said:
""I read in the revealed Books of Allah that Allah, the Exalted, said: I destroy My enemies through My enemies, and then I destroy them through My awliy.""

May Allah prolong their strife so that they are preoccupied with one another and weakened, and may He raise to leadership on this earth the Muslims they betrayed, oppressed, and harmed, so that Tawheed may be established across the earth!

May Allah safeguard every innocent Muslim wherever this conflict occurs!

Ahmad Musa Jibril
2 Shawwal 1447 AH""",Salafi jihadi,צבי גופרי;אילון כהן,,,,,,,,,Salafi jihadi,ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות,,,,,,,,,,,,,Salafi jihadi,ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות; א. האשמה בכפירה של שליטי ערב; ד. תמיכה בתכפיר קולקטיבי,,
pa98zylm8,"""The Shaykhs renowned Tawhid series, a treasure of authentic knowledge.

37 classes grounded in clarity and truth.

Bookmark it. Share it. Spread it for the sake of Allah.""",Salafi taklidi,אילון כהן;אריאל כהן,,,,,,,,,Salafi taklidi,,Irrelevant,,,,,,,,,,,,,,,
f4nw4ipyk,"""According the fat Mushrik @Haqiqatjou, anyone that says the bbqd pig @khamenei_ir insults the Sahabah is an Israeli backed accountwhat about his own book? Did the IDF secretly publish it? 

Lol, This guys posts are like the official IDF account, pure gaslighting. You see in the destroyed Mushriks own book, he insults the Sahabah numerous times on just one page:

1) Accuses Al-Farq   , of not submitting to Haqq.

2) Accuses a group from the Sahabah of  (very derogatory way to describe hanging up on someone in Arabic) against Ali   .

3) Accuses Fatimah    of slandering the Sahabah who gave Baya to the greatest man after The Prophet     (Abu Bakr   ) by saying they committed a major sin: and indeed they have done that for which Allah is their Reckoner and the One who will call them to account...

4) Accuses the most noble of Sahabah, some of whom are promised Jannah on the Tongue of The Messeneger and by extension Allah  :  And with great regret, they took advantage of his preoccupation and proceeded to seize the caliphate, steal it, and prevent him from his rightful claim to it. That cowardly act had negative consequences

Or will @Haqiqatjou behave like Madkhalis and call these all insults duna insults?

For more clear cut proof of the Shirk of the Rawafidh  scholars and laymen:

#NEW | THE RAFIDHAH | The People of Shirk & Kufr",Salafi jihadi,אריאל כהן;בנימין ווליך,,,,,,,,,,,Salafi jihadi,ביקורת על סלאפים תקלידיים; ח. אחר,Salafi jihadi,ד. תמיכה בתכפיר קולקטיבי; ח. אחר,,,,,,,,,,,,
3w18z7yav,Only Madkhalis would use A.I photo to refute the real one,Salafi jihadi,הילי חכמי,,,,,,,,,,,,,,,,,Salafi jihadi,ביקורת על סלאפים תקלידיים,,,,,,,,
d3balmspm,"""""@followerofgod96 @Alelislam It's obvious that despite the Shaykh holding those beliefs regarding the UN, he still affirmed Islam for Muslim rulers who are in fact in the UN""
""
--------------

Because he believes doing  major shirk doesn't make someone a mushrik",Salafi taklidi,זיו חסון,,,,,,,,,,,,,,,,,,,Salafi taklidi,,,,,,,
bpgq4zjtg,"""Kuwaiti constitution on Freedom of Religion &amp; Ideology

Theyre literally doing what the Murjiah state as a condition, to say the manmade law is from Allah",Salafi jihadi,צבי גופרי,,,,,,,,,,,,,,,,,,,,,,,Salafi jihadi,א. האשמה בכפירה של שליטי ערב,,
0qxh3ox1x,"""""His point is that youre taking their words out of context. If their statements meant what youre claiming, they would have applied them when addressing the rulers they advised. 

In the excerpts from Ahmad Shakir he clearly states that the legislators in Egypt he was advising are Muslims like him, rather than declaring them mushriks for not ruling by the shariah.""
""
--------------

Nobody took their word out of context, especially muqbil he clearly said ruling by un is shirk.

They don't apply it to their rulers because they're donkeys carrying  a book but that doesn't disprove the facts they've said ruling by the un is shirk",Salafi jihadi,צבי גופרי,,,,,,,,,,,,,,,,,,,,,,,Salafi jihadi,א. האשמה בכפירה של שליטי ערב; ב. ביטויי גנאי או האשמה בכפירה של חכמי הלכה,,
0j5xybnhk,"""Jam'at Ahl as-Sunnah lid-Da'wah wa'l-Jihd (JASDJ), mostly known as Boko Haram, recently released a video threatening ISWAP. The group in the video appears to be based in the Lake Chad area under the authority of the JAS overall leader Bakura Doro, aka Abu Umaymah.    

The speaker begins by calling ISWAP apostates and deviants, and tells them not to rejoice over the death of Abu Bakr al-Shekawi (Shekau). As a reminder, Shekau blew himself up in 2021 when he was cornered by ISWAP in the Sambisa Forest. ISWAP had called upon him with loudspeakers to surrender, but he refused.    

He adds that after Shekau there are many other Shekaus who dont die and dont change, and who follow his ways and teachings, and will remain until the Day of Judgement.    

He calls ISWAP deviants for not considering regular Muslim civilians apostates for living in territories controlled by the Nigerian government, which JAS describes as the general of the polytheists. This is a major difference between JAS (Boko Haram) and ISWAP, as the latter only sees the military, their auxiliaries, and Christians who dont pay the jizyah as legitimate targets. By contrast, JAS views everyone living under the apostate governments as legitimate targets, which is the reason behind the recent bombings in Maiduguri by JAS.    

The speaker then addresses ISWAP again, urging them to repent before JAS destroys them, and says that if they do, they will be safe from them.  

He then greets JAS fighters in all their provinces, the Mandara Mountains, and Sadikus mobile faction in the northwest and north central, as they renew their pledge of allegiance to Abu Umaymah. Children are visible among the group.""",Salafi jihadi,אילון כהן,,,,,,,,,Skip,"הציוץ הזה מתאר תוכן של סרטון מסוים שעוסק בבוקו חראם, שהתוכן שלו ג'יהאדי לחלוטין מן הסתם. אבל כיוון שהציוץ רק מתאר סרטון מסוים ומסביר מה יש בו, ללא הקשר (כלומר יכול להיות שזה דווקא חלק מביקורת או התנגדות לבוקו חראם) לא ידעתי איך לסווג. מצד אחד יש פה כל כך הרבה מושגים ג'יהאדים, מצד שני לא ברור מי מסביר את זה ובאיזה הקשר. לדעתי הטקסט עצמו נכתב עי AI אבל זו רק השערה""",,,,,,,,,,,,,,,,
1j4sl3m1u,""" THREAD

Abu Yahya al-Muhajir

the Nigerien fighter in the ranks of ISWAP who was killed by JASDJ",Salafi jihadi,אריאל כהן,,,,,,,,,,,Salafi jihadi,ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות,,,,,,,,,,,,,,
wqv30bf2j,"""Nibras Kazimi writing in Feb 2007:",Irrelevant,הודיה עופרי,,,,,,,,,,,,,,,Irrelevant,,,,,,,,,,,
etmi6bzjz,"""Ab Bakr al-Rz al-Jassss makes takfir of Abd al-Malik ibn Marwn and al-ajjj ibn Ysuf:

There was not among the Arabs, nor among the family of Marwn, anyone more unjust, more disbelieving, or more wicked than Abd al-Malik;""",Irrelevant,צבי גופרי;הילי חכמי,,,,,,,,,,,,,,,,,Salafi jihadi,ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות,,,,,Irrelevant,,,
dp6ehqb17,"""The Difference Between Dr al-Islm and Dr al-Kufr:

Ab Ysuf, the companion of Ab anfah, said:

A land is considered Dr al-Islm when the rulings of Islam are manifest in it, even if most of its inhabitants are disbelievers. And a land is considered Dr al-Kufr when the rulings of disbelief are manifest in it, even if most of its inhabitants are Muslims.
[al-Mabs by al-Sarakhs 10/144]

Ibn Mufli al-anbal said:

Every land in which the rulings of the Muslims prevail is Dr al-Islm, and if the rulings of disbelief prevail in it, then it is Dr al-Kufr. There is no third category beyond these two.
[al-db al-Shariyyah 1/213]

Ibn al-Qayyim al-Jawziyyah said:

The majority said: Dr al-Islm is that land in which the Muslims reside and upon which the rulings of Islam are implemented. Whatever the rulings of Islam are not implemented upon is not Dr al-Islm, even if it is adjacent to it.
[Akm Ahl al-Dhimmah 1/266]

Al-Q Ab Yal al-Farr said:

Every land in which the dominance is for the rulings of disbelief over the rulings of Islam is Dr al-Kufr.
[al-Mutamad f Ul al-Dn, p. 276]

Al-Ksn said:

When the rulings of disbelief become manifest in a land, it becomes Dr al-Kufr; a land becomes Dr al-Kufr by the manifestation of the rulings of disbelief.
[Badi al-ani 9/4375]

Muammad ibn al-asan al-Shaybn said:

Every land is attributed either to Islam or to disbelief. A land is attributed to Islam when its rulings are implemented in it, and it is attributed to disbelief when its rulings are implemented in it. Just as one says Paradise is the abode of peace and Hell is the abode of ruin, due to the presence of peace in Paradise and ruin in Hell. Likewise, the manifestation of Islam or disbelief is by the manifestation of their rulings.
[Badi al-ani 9/4375]

Manr al-Buht said:

Hijrah is obligatory upon one who is unable to manifest his religion in Dr al-arb, which is the land where the rulings of disbelief prevail.
[Kashshf al-Qin 3/43]

Al-Allmah amad ibn Atq said:

Whoever has familiarity with what the verifying scholars have established knows that when shirk becomes manifest in a land, prohibited matters are openly practiced, and the symbols of the religion are abolished, then it becomes a land of disbelief, its peoples wealth may be taken and their blood made lawful. The people of this land have gone further by openly insulting Allah and His religion, and they have established laws which they enforce upon the people, in opposition to the Book of Allah and the Sunnah of His Prophet (salallahu alayhi wa salam). And you know that this alone is sufficient to expel the one who does it from Islam.
[al-Durar al-Saniyyah 9/257]

The Mufti Muammad ibn Ibrhm l al-Shaykh said:

A land in which judgment is made by man-made law is not a land of Islam, and migration from it is obligatory. Likewise, if idoltary becomes manifest without being condemned or changed, then migration is obligatory. Disbelief, by its widespread prevalence and open manifestation, renders it a land of disbelief.
[Fatw Muammad ibn Ibrhm 6/188]""",Salafi jihadi,ענה-יה אך,,,,,,,,,,,,,,,,,,,,,Salafi jihadi,ד. תמיכה בתכפיר קולקטיבי; ג. קריאה לג׳האד התקפי (לא הגנתי); ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות,,,,
pt1ofeemt,"Al-Fudayl ibn Iyd said:

By Allh, it is not allowed to harm a dog or pig without right, so how can you harm a Muslim?

             

[Siyar Alm al-Nubal 8/427]

May Allah make us among those from whose hands and tongues the Muslims are safe.",Irrelevant,אילון כהן,,,,,,,,,Irrelevant,,,,,,,,,,,,,,,,,
a7aso4hx3,"""""I see a lot of criticism targeting journalists. What investment has the state or private TV channels in Pakistan made in this field. Name one correspondent in Iran or even Afghanistan from Pakistan? Let alone understanding the issues. People here would spend millions on cosmetics or food but not get a monthly subscription from a news outlet that costs less than a coffee.""
""
--------------

""People here would spend millions on cosmetics or food but not get a monthly subscription from a news outlet that costs less than a coffee.""

Seeing @IftikharFirdous seething about this is gonna make bypassing paywalls on news sites more fun",Irrelevant,צבי גופרי;הילי חכמי,,,,,,,,,,,,,,,,,Irrelevant,,,,,,Irrelevant,,,
