text,label_Irrelevant,label_Salafi jihadi,label_Salafi taklidi,max_prob,model_decision,uncertainty_score
"""BrakAllhu fkum Shaykhana. From true mn is that one loves for their brother what they love for themselves - and hates for their brother what they hate for themselves. And none is more deserving of this than your brother upon Sunnah, who has stood shoulder to shoulder with you calling to Allh and the Sunnah of His Messenger, defending Islm from attacks, and bearing the harms encountered upon that path. And truly, no one would love for themselves that they be removed from the fold of the Sunnah - and counted as being from those who are threatened with being driven away by stern Angels from the Hawd of the Messenger of Allh in the hereafter - without proof or justification in the religion of Allh for this. Indeed there is no ability nor might except with Allh.""",0.47368357,0.047699366,0.16342868,0.47368357,"No decision, maximum is Irrelevant",0.026316430000000002
"""A Warning To Those That Defend Themselves But Are Silent When The Truth & It's People Are Violated 

Ibn Qayyim    said: 

""And what religion, and what good, is there in a person who sees that which Allah has prohibited being violated, His boundaries being ignored and transgressed upon, His religion being abandoned, and the Sunnah of His Messenger being rejected? Yet his heart is unmoved, and his tongue remains silent. Indeed, he is a mute devil, just like one who speaks with falsehood is an articulate devil. 

Has the religion (of Allah) ever been tested with anything other than the likes of these people? Those who, so long as their food and (positions of) leadership are secured and protected, have no concern for what happens to the religion of Allah. The best among them may feel slight sadness, but should he be challenged regarding something he holds dearwhether concerning his status or his wealthhe will strive and toil to the utmost of his ability, using the three levels of rejection and rebuke to defend himself, (i.e. they use their hands, their tongues, and their heart to; change, repel, reject, and rebuke that evil). 

These individuals, though they have fallen in the sight of Allah and are under His anger, have been tested in this worldly life with the greatest of trials, yet they do not feel it. Certainly, for sure, it is the death of the hearts. For indeed, the more alive the heart is, the stronger its anger is for the sake of Allah and His Messenger, and the more complete its defence of the religion shall be.""

['Ilm al-Muwaqq'n 'an Rabb al-'lamn Ibn al-Qayyim 2/177] translated by Abu Ukkashah Abdulhakeem""",0.13520896,0.042298887,0.59841585,0.59841585,Salafi taklidi,0.09841584999999997
"""""And inshallah, whoever is truthful, his truthfulness will be made known. And whoever is a falsifier and a liar, Allah will make that known."" - @AbuIyaadSP""",0.700484,0.03654138,0.071001686,0.700484,Irrelevant,0.200484
"""Al-Haafidh Al-Nawawi   mentioned in Riyaadh al-Saliheen:",0.027303062,0.06555062,0.8927375,0.8927375,Salafi taklidi,0.39273749999999996
"""                 

The Messenger of Allh ('alaihis-salm) said:

""There is no person who abandons a Muslim at a situation where his sanctity is violated and his honour is diminished, except that Allah, The Mighty and Majestic, will abandon him in a situation where he would love to receive His support.""

Reported by Imm Ahmad and graded hasan by Shaykh al-Albani""",0.025844691,0.08649929,0.89222866,0.89222866,Salafi taklidi,0.39222866
"""Hisham Al-Biyali:

- Actually speaks ill of the major scholars (Shaykh Al-Albani & Shaykh Hassan Abdul-Wahhab Al-Banna)
- Declared a Haddadi & a person of deviation by the Mashayekh of Egypt since 2014 after his refusal to recant and make Tawbah and even after being advised by Shaykh Rabee   

Praised & recommended by Arafat 
Somehow to bring him close!

Shaykh Abu Iyaad:

- Falsely accused of speaking ill of the major scholars 
-Not reached out to once or even spoken to concerning what was ASSUMED to be mistakes 

Declared an innovator by Arafat 
Somehow not deserving of being brought close by the same person?

What Salafiyyah is this?""",0.03472875,0.37743804,0.81012845,0.81012845,Salafi taklidi,0.12256196000000003
"""CLARIFICATION: 

I have been informed about a tweet circulating about me apparently co-operating with Ahlul Bidah, and as is expected from those who fish in murky waters, it has been used to make insinuations. We see them doing this with our scholars, thus it goes without saying they will do the same with us! As far as the truth of the matter, then by the grace of Allah I have been selected as a Saudi approved Hajj Guide, Wa lillahil Hamd. THERE ARE NO LONGER UK HAJJ GROUPS. This is now the only way to make Hajj worldwide, by way of a Saudi Hajj body that has Saudi approved guides. The Saudi Hajj body organised a Hajj seminar for the UK hujjaaj to meet their guides (me being one of them) and to be taught about Hajj. I was asked to deliver the main topic of the rulings of Hajj itself, the other speakers were also selected HAJJ GUIDES whose Hajj groups were in attendance at the event. The Saudi reps who organised the event, themselves came to the UK and spoke at the event that was staged at the Hilton Hotel. It WAS NOT a sufi seminar or event held at a Sufi masjid, as is being suggested..and ALL attendees were this years UK Hujaaj who we will be accompanying for Hajj. Baarakallahu Feekum""",0.29247358,0.55135703,0.118444696,0.55135703,Salafi jihadi,0.051357030000000026
""" Consider Making HijrahSoon

As the Western world slips and slides down the slippery slope of liberalism, seek to utilise an advance degree or investment income to relocate to the Muslim world. Whether its the first world infrastructure of the Arabian Gulf or the green pastures of Morocco, considering making an intention, seeking the aid of Allah, and plotting a way out. Who wants to tiptoe around discarded needles, oppress our women with gender neutral restrooms, and see our children groomed by a Marxist-laden non-binary, nihilist indoctrination system. If you have the work experience profile, move forward seeking the face of Allah. If you are young and starting out, pick your field wisely to position yourself well. There are large expat communities in Saudi Arabia, UAE and Qatar. Yes, the innital move will be bumpy with some culture shock, but the payoff will be tremendous when you settle in, and the tawfiq is from Allah. Remember, there is blessing in good intentions, don't be afraid, don't procrastinate. Life is short. Release yourself from the rainbow pathway.""",0.8416433,0.22080617,0.030584171,0.8416433,Irrelevant,0.27919383
"""Nice nice try attempt. Heres a video from Jeddah, Saudi Arabia, with iftar provided for worshippers. Its sad to see Muslims look for every opportunity to knock the Muslim lands using tabloid articles intended to defame the Muslim rulers and rile up the people. A principe in the religion is khabr al-thiqt (accepting the news of the trustworthy). We live here and told you what we knew and saw with our eyes.""",0.8331923,0.14082898,0.029099444,0.8331923,Irrelevant,0.3331923
"""Why are there so many problems in society? 

Sh Fawzan:

If the woman is lost, the home is lost.

If the home is lost, the children are lost.

If the homes are lost, society is lost.",0.7780078,0.01297491,0.1645669,0.7780078,Irrelevant,0.2780078
"""Ibn al-Qayyim: What Affects the Beauty of the Face

Ibn al-Qayyim (rahimahullah) said:

Four things make the face dull, and strip it of its brightness, its radiance, and its beauty:

1. Lying,
2. Shamelessness,
3. Asking excessively about matters outside Islamic knowledge,
4. Frequent immorality.

Four things increase the brightness of the face and its radiance:

1. Honourable conduct (muruah),
2. Loyalty,
3. Generosity,
4. Piety.

(Zad al-Maad 4/613)""",0.23984599,0.012454661,0.74217105,0.74217105,Salafi taklidi,0.24217105000000005
"""Beauty Of Islam. Dr. Abdulilah Lahmami",0.105116144,0.016970253,0.87419176,0.87419176,Salafi taklidi,0.37419176
"""Generation after generation, the masjid (mosques) have been the blessed foundation for every student of knowledge and the path of the scholars in seeking & spreading knowledge. Step by step, until many were raised by Allh to become illustrious Imms, beacons of guidance who combined true knowledge with righteous action, benefiting both themselves and the Ummah.""",0.5666879,0.020959152,0.21975121,0.5666879,Irrelevant,0.06668790000000002
"""Tabarruk ya Shirk?!
  !
Saheeh Aqidah sekhne k liye subscribe kejeye",0.85126865,0.031246282,0.04546697,0.85126865,Irrelevant,0.35126864999999996
"""It truly warms the heart to witness nearly 30 brothers gathering on Fridays, Saturdays, and Sundays to study the Arabic language across different levels. Some travel more than an hour each way, and some even sleep overnight at the Masjid for the weekend to avoid the long drive back and forth, all out of love for knowledge and dedication to learning the language of the Quran.

Even more beautiful is seeing the strong attendance at the weekly lessons in Aqdah and Fiqh, along with the childrens weekend morning programs. These are signs of goodness and signs that Allh wishes good for a people when He places in its people a love for beneficial knowledge and eagerness to gain correct understanding of His religion.

May Allh preserve our youth, increase them in sincerity, knowledge, and righteous action, and keep their hearts firm upon the truth. May He bless those who strive, those who teach, those who support, and those who sacrifice their time and comfort for His sake.

These gatherings are seeds being planted today that, by Allhs permission, will become strength, leadership, and guidance for generations to come.""",0.3948073,0.05796671,0.2171624,0.3948073,"No decision, maximum is Irrelevant",0.10519269999999997
"""The Danger of Free-Mixing and a Warning to Those Who Treat the Matter Lightly

Ab Hurayrah narrated that the Messenger of Allh (   ) said:

The best rows for men are the first rows, and the worst are the last rows, and the best rows for women are the last rows, and the worst are the first rows. Muslim 440.

Al-Nawaw comments:

The reason the last rows are preferred for women who are present with men is because they are farther from mixing with the men, seeing them, becoming attached in the heart due to seeing their movements or hearing their speech, and similar matters. For this reason, the first rows are considered the opposite (less preferable) for women, and Allh knows best.

If this concern applies even in the most sacred of places, where hearts are softened, desires are restrained by the fear of Allh, and one is surrounded by righteous believers, yet unnecessary mixing between men and women is still cautioned against, then what about places of lesser sanctity, where temptation is stronger, heedlessness is more common, and restrain is weaker?

Munb al-ml""",0.27794284,0.0111851115,0.7670274,0.7670274,Salafi taklidi,0.22205715999999998
"""May Allah have mercy on our brother sh Mohammed Amin.
       

Allah make these trying times easy for his family, children and community.

 """,0.2931754,0.014858483,0.70298254,0.70298254,Salafi taklidi,0.20298254000000004
"""Abu alah Dawood Burbank (may Allh have mercy upon him and his wife) he was a beloved teacher and friend, a good example to us all. He died in 2011, and till this day, almost daily,  we come across some work he did during his lifetime! 

We miss him dearly, may Allh reward him for his great efforts and grant him and his family the highest ranks of paradise.""",0.29195073,0.01611087,0.6576763,0.6576763,Salafi taklidi,0.1576763
""" Progress at Masjid Ibn Taymiyyah, Islamabad, Pakistan   April 2026. 

May Allah bless it. 

Watch and share. 

Donate at 
Or at",0.7621812,0.0075935917,0.37478444,0.7621812,Irrelevant,0.12521556
"""Imam al-Bukhari: Be Patient O People of the Sunnah, You Are the Fewest of the People!

Abu Abdullah Muhammad ibn Ismail al-Bukhari said:

The best of the Muslims is a man who revives a Sunnah from the Sunan of the Messenger (sallallahu alayhi wa sallam) that has been abandoned. So be patient, O people of the Sunan, may Allah have mercy upon you, for indeed you are the fewest of the people.

(al-Jami li-Akhlaq al-Rawi, no. 90)""",0.44135976,0.011117178,0.40096986,0.44135976,"No decision, maximum is Irrelevant",0.05864024000000001
"""When a Scholar Makes an Error, the Whole World Makes an Error!

Sh Bad-ud-dn writes in the Muqaddimah of his Tafsr after explaining that requests were made of him to author a tafsr:

""So I began to ponder over the affair, and consider what I had to offer and the reality of the task at hand. If they had entrusted me to move a towering mountain, it would have been easier for me. I took a step forward and back again.

Another consideration: man is prone to making mistakes and forgetting, and I feared that I would make a mistake or an error, for when a scholar makes an error, the whole world makes an error, to the point that I intended to excuse myself.""

We cannot fathom the weight on a scholar's shoulders. This great imm, with a level of knowledge acknowledged by the likes of Al-Albni, Muqbil, Rab, would not start writing his Tafsr because he feared making mistakes.""",0.41475397,0.11839148,0.13617349,0.41475397,"No decision, maximum is Irrelevant",0.08524602999999997
"""Suspicious silence concerning Arafat, have not taken a clear open stance against this oppressor, have not freed themselves from him, not a single statement against this oppressor for his oppressions, but they have taken an oppressive stance against Sh. Abu Iyaad which is""",0.3743038,0.4831879,0.08708447,0.4831879,"No decision, maximum is Salafi jihadi",0.016812099999999996
"""I greatly look forward to these two knowledge-based events back-to-back in July InshaAllah.

 17-19 July in Gent, Belgium @MoskeeElAlbani 

 22-26 July in North of England (between various markiz)

I encourage all our brothers and sisters in the U.K. and across Europe to note these dates and make an effort to attend both eventsinviting our European brothers to join us in the U.K., and encouraging our U.K. brothers to travel and visit the Salaf community in Belgium.

May Allh reward all the organisers for their hard work and allow these events to be filled with beneficial knowledge, brotherhood, love, and unity between ahlus-Sunnah.""",0.035967387,0.07570525,0.89686483,0.89686483,Salafi taklidi,0.39686482999999995
"""Who is a Sunni? @hikmahpubs 

A response to those who say you have to be Ashari, Sufi.",0.7030906,0.027854066,0.08719476,0.7030906,Irrelevant,0.2030906
"""Shaykh Badr Al-Anzi: The Claim That Scholars Issue Fatwas According to W...  via @YouTube""",0.056176558,0.1447083,0.6643664,0.6643664,Salafi taklidi,0.16436640000000002
"""So we rejected this statement and said: this is a dangerous statement. Its implication is that you are nullifying the Fatw of the scholars in Nawzil. If you see that there is a mistake, and you are a Salaf who respects the scholars and also respects the rulers, then write to them. Present your viewpoint only. But to establish this as a general principlethis is false and wrong! 

This resembles the approach of the Surrs and Qubs during the Gulf crisis, who said: Our scholars do not understand current affairswe understand current affairs. America entered, Europe did such-and-such, and you, O scholarslike ibn Bzyou are only with the rulers, obeying them. The same wordsonly the people and circumstances have changed. There it was a Gulf crisis related to the entry of disbelievers (to the lands of the Muslims); here it is a COVID crisis related to medicine.

Furthermore, this man (making these claims) works in medicine. If we look at his specialization, do you work in every field of medicine and every specialty? No. Then speak only within your level. That is one point.

Secondly, do you want the entire Ummah to abandon the doctors of the world and the consultants, and instead follow your opinion? This is dangerous speech! It is unclear what this person intends with such statements. 

Despite that, he has been advised, and we have advised him before. We even sent to him years ago when he issued a Fatw. Look at this Fatwmany people may not even be aware of it. He issued a ruling that social distancing was Minor Shirk. That means Al-Fawzn has fallen into Shirk, the Muft has fallen into Shirk, and our scholars such as Ubayd and others have fallen into Shirk. And we, the students of knowledge, have all fallen into Shirk. And the Fatw of the scholars who permitted distancing are, according to him, Fatw of Shirk.

So who is behind you that you speak with such words? What do you want, that you strike at the scholars by claiming they have fallen into (minor) Shirk, that they should not be referred to, and that they neither understand nor comprehend? This is what he says in the audio recordings. 

Some have not even listened to these recordings yet and do not want to listenand this is a calamity. You find a person plunging headlong into Fitnah while knowing nothing. And if you say to him, Come, let us sit and clarify things for you, he refuses to listen. This is blind partisanship. 

As for us, we clarify the error. Whoever is guided, then all praise is due to Allh, and whoever goes astray, then it is upon himself.

Shaykh Abdul-Azz ibn Bz was asked on his official site: Should we refer only to doctors, or to the scholars? He replied: No. One must return to the scholar. If the matter were purely medical, then yeswe would return to the doctors; because they are the people of specialization. But this concerns a matter connected to medicine and also to the Sharah.

Does Al-Fawzn immediately issue a ruling when a purely medical issue comes to him? You think highly of yourself and consider yourself an expert. But when this scholarAl-Fawzn, the Muft, Al-Abbd, Rab, and othersare asked about a worldly technical matter such as medicine or agriculture, do they refer to specialists or not? They do refer to the specialists. This shows that you do not understand how the scholars issue Fatw.

I have already explained this in detail in one of the refutationsthe methodology of the scholar in giving Fatwand it is published on my channel. Yet some people ignore all of this and do not want to listen. 

Continued""",0.33887613,0.65283036,0.09878309,0.65283036,Salafi jihadi,0.15283036000000005
"""Ab Nar al-Sijz (d. 444 AH) rejects the very premise of Tafw al-Man. He says about Ah:

He speaks to whomever He wills, addressing him with what he knows and is not ignorant of.

Al-Ibnah 3/425",0.45046297,0.013557653,0.4802276,0.4802276,"No decision, maximum is Salafi taklidi",0.019772400000000023
"""[ Document] Ab Nar al-Sijz and ull al-awdith
Link:",0.51144904,0.0076579535,0.5162623,0.5162623,Salafi taklidi,0.011449040000000021
"""""@MuhammadMarzuuq Majority of the salaf believed he was an angel. (And that the Jinn are a tribe among the angels)""
""
--------------

al-Baghawi and al-Samani: The view stated by Ibn Abbas and the majority of the mufassirn is that Ibls was from the angels.

This viewthough uncommon in later generationswas the majority view among the earlier generations.

Its also the position of Qatdah, al-Tabar",0.024648527,0.2108322,0.8798,0.8798,Salafi taklidi,0.2891678
"Ibn Taymiyyah:

Signs of hypocrisysuch as lying, betrayal, breaking promises, and treacheryare not found more in any group than they are among the Rfiah. This is from their longstanding characteristics, to the extent that they use it to betray Al, al-asan, and al-usayn.",0.7870951,0.01923357,0.10217155,0.7870951,Irrelevant,0.28709510000000005
"""""Grand Mufti of Saudi Saleh Fawzan:

""Our soldiers at the borders with American soldiers are perfomring the noble act of Jihad in the path of Allah and i told them this jihad is better than fasting and tahajjud.""

Fighting for Israel is jihad now


""
--------------

Its embarrassing how easily some muslims eat up blatant lies.

Dajjal is gonna have such an easy time with some of yall.",0.8784709,0.17008823,0.020901833,0.8784709,Irrelevant,0.32991177
"""Every single person who attacks Wahhabism is an enemy of Islam and the Sunnah, but they cant publicly go after Islam, so they call it Wahhabism.""",0.21420124,0.047131278,0.4099863,0.4099863,"No decision, maximum is Salafi taklidi",0.09001369999999997
"Ibn Taymiyyah:

 The signs of hypocrisy are not more apparent in any group of the Ummah than they are among the Rfiah.

 Among them there exists a form of blatant and severe hypocrisy that is not found in others. The defining feature of their religion is taqiyyah.",0.14901002,0.014717671,0.81148213,0.81148213,Salafi taklidi,0.31148213
"""""Would he go to heaven if he converted tho ?""
""
--------------

If any transgressor sincerely repented, they would go to Jannah(this doesnt absolve them of the hudd in the dunya)

 Musa AS invited Firawn(who claimed to be God and killed innocent people) to Allah.

 The Hadith about the man who killed a 100 innocent souls and repented.",0.52683866,0.0074285795,0.44989747,0.52683866,Irrelevant,0.026838660000000014
"That being said, nobody should  pray for such a person to be guided, but rather they should pray that he dies upon his disbelief as Musa AS did (after giving dawah to Firawn)",0.8908242,0.01968254,0.054171648,0.8908242,Irrelevant,0.39082419999999995
"""@ Madinah College London",0.6009627,0.010660499,0.51500505,0.6009627,Irrelevant,0.015005049999999964
"This isnt a call to be soft on bidah.

Its a call to be firm upon the manhaj of the Salaf, and not confuse that with defending personalities at all costs.

The Salafi path is objective, not personality-based.",0.1245825,0.30952758,0.36587486,0.36587486,"No decision, maximum is Salafi taklidi",0.13412513999999998
"""Islam is free from any acts of terrorism where innocent people are killed. 

These ignorant, brainwashed youth that commit these heinous crimes have been warned against by Prophet Muhammad (sallallaahu alaihi wa sallam) 1400 years ago.""",0.88433397,0.08517477,0.023604762,0.88433397,Irrelevant,0.38433397
"""Salih alFawzan said
Partisanship to madhhabs, individuals and tribes isn't allowed
The Muslim follows the truth with whoever it is
He doesn't show blind loyalty, nor leave the truth that is with his opponent
The Muslim turns to truth wherever it may be
 Inat al-Mustafd, 2/115.""",0.45175648,0.61224663,0.07160486,0.61224663,Salafi jihadi,0.048243519999999984
"""Alhamdulillh, 400 Mashif (copies of the Qurn) were purchased from the Qurn Printing Complex in Madeenah. These are gifted to our students upon completing the Q'idah, free of charge from the Markaz.
They will keep and benefit from them for many years to come in-sh-Allh, reading from them during their lessons and at home. 

May Allh abundantly reward the brothers who funded their purchase and transportation, and make it heavy upon the scales of their good deeds and the good deeds of their parents.""",0.39110222,0.01010211,0.7153525,0.7153525,Salafi taklidi,0.10889778
"""The benefits of habitually listening to the Qurn when driving:

1. It will increase and strengthen your emn (Surat at-Tawbah: 124).
2. You will follow the Sunnah as the Messenger of Allah loved when the Quran was recited to him.
3. It will cause the Shaytan to flee from you.
4. It will take away the opportunity to commit sins (I.e. music, TikTok, Instagram, YouTube).
5. It will help you memorize and review what you have already memorized.
6. If you are studying Arabic language, it will aid you.""",0.5764172,0.009887331,0.30402142,0.5764172,Irrelevant,0.07641719999999996
"""Focus, my dear brothers and sisters, on simply learning, gaining knowledge, understanding, memorizing. Dont allow the entertainment industry setup by pseudo scholars in the west to turn you away from Albaani, Bin Baz, Uthaymin, Muqbil, Fawzan, Rabee, Abdul Muhsin, Ubayd.""",0.117848486,0.3924462,0.35055944,0.3924462,"No decision, maximum is Salafi jihadi",0.10755379999999998
"""Salih alFawzan said
Partisanship to madhhabs, individuals and tribes isn't allowed
The Muslim follows the truth with whoever it is
He doesn't show blind loyalty, nor leave the truth that is with his opponent
The Muslim turns to truth wherever it may be
 Inat al-Mustafd, 2/115.""",0.45175648,0.61224663,0.07160486,0.61224663,Salafi jihadi,0.048243519999999984
"Shk. Muammad Amn al-Jm: Being gentle with people does not mean hiding the truth or failing to make it clear, nor does it mean just to gather the people under the banner of Islm without clarifying...",0.37173125,0.016345678,0.47880605,0.47880605,"No decision, maximum is Salafi taklidi",0.021193950000000017
"""The benefits of habitually listening to the Qurn when driving:

1. It will increase and strengthen your emn (Surat at-Tawbah: 124).
2. You will follow the Sunnah as the Messenger of Allah loved when the Quran was recited to him.
3. It will cause the Shaytan to flee from you.
4. It will take away the opportunity to commit sins (I.e. music, TikTok, Instagram, YouTube).
5. It will help you memorize and review what you have already memorized.
6. If you are studying Arabic language, it will aid you.""",0.5764172,0.009887331,0.30402142,0.5764172,Irrelevant,0.07641719999999996
"""Alhamdulillh, 400 Mashif (copies of the Qurn) were purchased from the Qurn Printing Complex in Madeenah. These are gifted to our students upon completing the Q'idah, free of charge from the Markaz.
They will keep and benefit from them for many years to come in-sh-Allh, reading from them during their lessons and at home. 

May Allh abundantly reward the brothers who funded their purchase and transportation, and make it heavy upon the scales of their good deeds and the good deeds of their parents.""",0.39110222,0.01010211,0.7153525,0.7153525,Salafi taklidi,0.10889778
"""Shaykh al-Fawzn:

Without doubt, keeping a wife without financially supporting her is not acceptable.

[Al-Mulakhas al-Fiqh, 2/380]""",0.054232195,0.052164182,0.82975906,0.82975906,Salafi taklidi,0.32975906
"""""Syrians in Tadamon, Damascus, celebrated the arrest of Amjad Yusuf, a key perpetrator of the 2013 Tadamon massacre that killed more than 288 people.

Yusuf, a former intelligence officer under deposed dictator Bashar al-Assad, became notorious after leaked footage in 2022 showed him and others carrying out the mass killings.

He was arrested by the Syrian Ministry of Interior in the city of Hama on Friday April 24.""
""
--------------

Alhamdulilah",0.87212616,0.18150769,0.022046506,0.87212616,Irrelevant,0.31849231
"""""1 minute finish 
""
--------------

Pathetic performance from Chief Logic",0.86855435,0.023612978,0.090895556,0.86855435,Irrelevant,0.36855435000000003
"""The Multitude Is No Measure of Truth

Imm Ibn al-Qayyim (d. 751 AH) said:

The ignorant and unjust one opposes you without any proof, and declares you a disbeliever or declares you an innovator [in religion] without any proof. And your fault is your turning away from his ruinous path and his blameworthy way. So do not be deceived by the great number of this kind, for the many thousands of them do not equal a single person from the people of knowledge.

Source: Alm al-Muwaqqin an Rabb al-lamn, 5/388""",0.04557157,0.046295796,0.87287444,0.87287444,Salafi taklidi,0.37287444000000003
""" 'EiD al-Fir Prayer 
 Southfields Park, Loughborough
 8AM Prayer shall commence   
 Friday 20th March 2026


Men, Women & Children All Welcome | Come Partake in the Sunnah!


 Please bring your own Prayer Mats""",0.8278484,0.010115819,0.3701727,0.8278484,Irrelevant,0.12982729999999998
""" ANNOUNCEMENT | NIGHT -29- | AL MARKAZ AS SALAFI LEICESTERSHIRE MARKAZ FUNDRAISING APPEAL

 Double up! FIRST 2,000 RAISED BY FAJR  WILL BE MATCHED 

The Prophet () said,
""Allh said
'O son of dam! Spend, and I shall spend upon you.'"" (Bukhri).

Hasten to Good O' Servants of Allh with these last remaining Night(s) of Raman!

 HOW TO DONATE 

 Bank Transfer,  GoFundMe &  PayPal payment options all available @
  [Scroll down on the link for Payment Options]

May Allh  accept your Sadaqah, .""",0.030187216,0.10849551,0.8594511,0.8594511,Salafi taklidi,0.3594511
""" 'EiD al-Fir Prayer 
 Southfields Park, Loughborough
 8AM Prayer shall commence   
 Thursday 19th/Friday 20th March 2026  subject to Moon Sighting  


Men, Women & Children All Welcome | Come Partake in the Sunnah!


 Please bring your own Prayer Mats.""",0.89694315,0.011261172,0.22827943,0.89694315,Irrelevant,0.27172057
"""An Excellent Answer by our Ustdh Hill (hafidhahullh), may Allh reward him  we encourage you to listen, share and spread this amongst your family, friends et al.""",0.669898,0.00706412,0.42071146,0.669898,Irrelevant,0.07928854000000002
"""Dinner | Night 2 | Hashimi Hotel [14] @taqwatravels",0.043033138,0.1321078,0.75265837,0.75265837,Salafi taklidi,0.25265837
"""Dinner | Night 1 | Hashimi Hotel [13] @taqwatravels",0.037824932,0.11261925,0.8065487,0.8065487,Salafi taklidi,0.3065487
"""The Old City [11] @taqwatravels",0.12028656,0.02387873,0.7310135,0.7310135,Salafi taklidi,0.23101349999999998
"""The Damascus Gate [10] @taqwatravels",0.8353441,0.0796959,0.030924162,0.8353441,Irrelevant,0.33534410000000003
"""Would you like a wallpaper for your home/lock screen? Look no further..... [8] @taqwatravels 

 Tap on image to view in full",0.6523353,0.012383207,0.37031528,0.6523353,Irrelevant,0.12968471999999998
"""Dome of the Rock - Post Fajr alah [5] @taqwatravels",0.071079254,0.07844954,0.71970546,0.71970546,Salafi taklidi,0.21970546000000002
