Tweet ID,Text,Final Decision,Assigned To,Label_Lior,Reasons_Lior,Label_eden,Reasons_eden,Label_lior,Reasons_lior,Label_ofek,Reasons_ofek,Label_אורי כהן,Reasons_אורי כהן,Label_אוריכהן,Reasons_אוריכהן,Label_אילון כהן,Reasons_אילון כהן,Label_אריאל כהן,Reasons_אריאל כהן,Label_בנימין ווליך,Reasons_בנימין ווליך,Label_הודיה עופרי,Reasons_הודיה עופרי,Label_הילי חכמי,Reasons_הילי חכמי,Label_זיו חסון,Reasons_זיו חסון,Label_כיתה,Reasons_כיתה,Label_ענה-יה אך,Reasons_ענה-יה אך,Label_צבי גופרי,Reasons_צבי גופרי,Label_תומר חוכימה,Reasons_תומר חוכימה
gseseqx5e,"""Ash-Shahd Ab Hamzah as-Sdn describes how the orphans of Shm used to boast about their fathers Shahdah:,","Irrelevant","אילון כהן;זיו חסון","","","","","","","","","","","","","Irrelevant","","","","","","","","","","Salafi jihadi","ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות","","","","","","","",""
ch3fn8ykc,"""Ahmed al-Sharaa states in his Consitution:

""Citizens are equal before the law in rights and duties, without discrimination based on race, religion, gender, or lineage.""

Who would risk throwing themselves into Hellfire by declaring that the one who holds this belief is a Muslim?,","Salafi jihadi","צבי גופרי;הילי חכמי","","","","","","","","","","","","","","","","","","","","","Salafi jihadi","ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות","","","","","","","Salafi jihadi","א. האשמה בכפירה של שליטי ערב","",""
yl60beeea,"The CENTCOM has published footage of the US military HIMARS firing ""ATACMS"" Missiles towards 3 Iranian TEL's, including that of what is presumably ""Kheibar Shekan"" &amp; ""Fateh-110"" MRBMs, and 1 VHF Radar, laced via USAF ""MQ-9A"" UAV, during Operation ""Epic Fury"" over the past day.,","Irrelevant","ענה-יה אך;הודיה עופרי","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","","","Irrelevant","","","","",""
m3a432nck,"""If you shelter murderers and give them a head quarters to attack from, dont play the victim card when youre attacked by the murderers victims.

Shaykh Younus Kathrada  "",","Irrelevant","אריאל כהן;אילון כהן","","","","","","","","","","","","","Irrelevant","","Salafi jihadi","ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות","","","","","","","","","","","","","","","",""
00facpcv8,"""""Don't give the Turks what they want, they are itching for it 
""
--------------

It will look completely different than that 
Arming militias, coups and civil war 
This is what they want,","Irrelevant","זיו חסון;צבי גופרי","","","","","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","Irrelevant","","",""
gj727823k,"#islamicreminder  #quran  #health  #quranichealing  via @YouTube,","Irrelevant","הילי חכמי;ענה-יה אך","","","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","Irrelevant","","","","",""
njyk85btq,"""Looks like we've got our closest look at the quad canister launchers for Mikholit munitions on a downed Israeli Hermes-900,","Irrelevant","הודיה עופרי;אריאל כהן","","","","","","","","","","","","","","","Irrelevant","","","","Irrelevant","","","","","","","","","","","","",""
nmfdri452,"""@xavierjp__ @MAkhtar59405 MBS stripped all their powers to the point where they became essentially useless. 

So practically, they do not exist anymore there."",26.0","Irrelevant","אילון כהן;זיו חסון","","","","","","","","","","","","","Irrelevant","","","","","","","","","","Irrelevant","","","","","","","","",""
oxtkhtxks,"""Sh.Abdul-Aziz Bin Baz (may Allah have mercy on him) said:

""As for National Day and celebrating National Day on any day...then all of this is an innovation, all of it is from the innovations &amp; an imitation of the enemies of Allah.""

#Saudi_National_Day_92
#__"",","Salafi jihadi","צבי גופרי;הילי חכמי","","","","","","","","","","","","","","","","","","","","","Salafi taklidi","","","","","","","","Salafi jihadi","א. האשמה בכפירה של שליטי ערב; ד. תמיכה בתכפיר קולקטיבי","",""
h20eszw6b,""""" 
""
--------------

This movie was insulting Muslims
They portrayed a Muslim mutabarijah whos sleeping with non Muslim man as a honeypot trap of jihadists 

The funny thing is; they do it themselves 
Everyone knows that Mossad does this and others too
Projecting their degeneracy onto Muslims,","Irrelevant","ענה-יה אך;הודיה עופרי","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","","","Irrelevant","","","","",""
3va0wxwx7,"May Allah reward our brothers @salafidawahdub for facilitating the conference over the past weekend. The enthusiasm of all involved in the community was extremely encouraging. We ask Allah that their dawah continues to go from strength to strength,","Salafi taklidi","אריאל כהן;אילון כהן","","","","","","","","","","","","","Salafi taklidi","","Salafi taklidi","","","","","","","","","","","","","","","","",""
rebvnvjt2,"""Starting in August In Sha Allah please repost and share, Baarakallahufeekum,","Irrelevant","זיו חסון;צבי גופרי","","","","","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","Irrelevant","","",""
wmbfs7er6,""",","Irrelevant","הילי חכמי;ענה-יה אך","","","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","Irrelevant","","","","",""
c2ue8i5r9,"""To those who call for Unity with the Rafidha.,","Salafi taklidi","הודיה עופרי;אריאל כהן","","","","","","","","","","","","","","","Salafi taklidi","","","","Salafi taklidi","","","","","","","","","","","","",""
ww5o0h7lu,"They alway's condemn when J*ws &amp; kuffr are killed, but you will never hear a word from them about the Muslims in Gaza &amp; Sudan...,10.0","Irrelevant","אילון כהן;זיו חסון","","","","","","","","","","","","","Salafi jihadi","ד. תמיכה בתכפיר קולקטיבי","","","","","","","","","Irrelevant","","","","","","","","",""
6vow67hss,"""NHS doctors arrested in Britain for speech against 'israel': 5+

IOF soldiers arrested in Britain for mass murder, war crimes, and genocide: 0

This is the real hierarchy."",18.0","Irrelevant","צבי גופרי;הילי חכמי","","","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","","","Irrelevant","","",""
ujqbf0v57,"Inna lillahi wa inna ilahyi rajioon

Sheikh Rabee Bin Hadi al-Madkhali has passed away, may Allah forgive him, have mercy on him and grant him paradise ameen.

Certainly the passing of the scholars is a loss for the Ummah.,","Salafi taklidi","ענה-יה אך;הודיה עופרי","","","","","","","","","","","","","","","","","","","Salafi taklidi","","","","","","","","Salafi taklidi","","","","",""
odl1zr26y,"""05 | #Ramadan1447 | THE NAMES &amp; ATTRIBUTES OF ALLAH | Shaykh Musa Jibril (  )
PDF: 
SRT:,","Salafi jihadi","אריאל כהן;אילון כהן","","","","","","","","","","","","","Irrelevant","","Salafi jihadi","ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות","","","","","","","","","","","","","","","",""
v9js19mr6,"""SNEAKO asks Glenn Greenwald why Brazilian UFC fighters such as Charles Oliveira are Z*onists who support lsraeI 

""There's a big dr*g gang, they renamed this huge favela 'The Complex of lsraeI'. They wear IDF uniforms, their pools have a gigantic Star of David in the middle. You'll see more lsraeI flags than Brazil flags.""

""If you're Evangelical in Brazil, central to your religious identity, is you have to support the current modern day lsraeI.""

""Catholics and Orthodox have stayed immune to that."""",","Irrelevant","זיו חסון;צבי גופרי","","","","","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","Irrelevant","","",""
v2ozn4vyf,"""so im watching shaykh khalid   teach the children - seconds into the dars and i cant stop smiling,","Irrelevant","הילי חכמי;ענה-יה אך","","","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","Salafi jihadi","ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות","","","",""
5elk6k3d0,"""Builds iOS apps from Windows or Linux via GitHub Actions,","Irrelevant","הודיה עופרי;אריאל כהן","","","","","","","","","","","","","","","Irrelevant","","","","Irrelevant","","","","","","","","","","","","",""
wdmvdsep3,"""Daniel Haqiqatjou is a disgusting Iranian agent

Look at how he mocks Saudi Arabia while it was being unjustly attacked"",","Irrelevant","אילון כהן;זיו חסון","","","","","","","","","","","","","Irrelevant","","","","","","","","","","Irrelevant","","","","","","","","",""
g1hd3zvid,"Khamenei, the oppressor, tyrant, and butcherer of Muslims is no more,","Irrelevant","צבי גופרי;הילי חכמי","","","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","","","Irrelevant","","",""
lvqf5yn4t,"""Indeed those who disbelieved and died as disbelievers, not even an earth full of gold will be accepted from them as ransom. For such people there is a painful punishment; and none shall come to their help.""

-Quran 3:91,","Irrelevant","ענה-יה אך;הודיה עופרי","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","","","Irrelevant","","","","",""
kt8y2std0,"""""The Haifa Museum of Art in Israel displays the McJesus statue.

Funny how they can mock Jesus like this while constantly claiming Israel is the greatest ally of Christians. 
""
--------------

no such thing as judeo-christian,","Irrelevant","אריאל כהן;אילון כהן","","","","","","","","","","","","","Irrelevant","","Irrelevant","","","","","","","","","","","","","","","","",""
un6dbh9ts,"""Our story is one of transient venues in an effort to seek knowledge and call the people to it

Moving from one venue to another for 12 years. 

Alhamdulilaah Allah has made it easy for us to buy a building and we are in the process of refurbishing it. 

A Markz built upon the correct Aqeedah and sound Manhaj. 

Dawah Salafiyah is a blessed dawah that calls people to the Quran and Sunnah upon the understanding of the 
Salaf Us Saalih.



Ways to donate 

 



 Lloyds Bank
Markaz Bukhari
41059860
309089"",","Salafi taklidi","זיו חסון;צבי גופרי","","","","","","","","","","","","","","","","","","","","","","","Salafi taklidi","","","","","","Salafi taklidi","","",""
pmevszoq8,""" A Mistake in Children's Tarbiyah

In many communities, there are children who grow up memorising Qur'an but without learning Iman.

This leads to a generation of Huffadh, who are ignorant of the correct Aqidah and the basics of Islam.

Jundub (radihaAllhu anhu) said, ""We were with the Prophet as young boys, we learnt Iman before we learnt the Qur'an, then we learnt the Qur'an and we increased by it our Iman."" [Ibn Majah]"",","Salafi taklidi","הילי חכמי;ענה-יה אך","","","","","","","","","","","","","","","","","","","","","Salafi taklidi","","","","","","Irrelevant","","","","",""
g5krh3f99,"""This is the logical endpoint of islamo-leftism: an ambiguously brown uncovered foid posting about the haramness of capitalism while shacking up with a (presumably white) kaffir in ramadan

The Jews have molested us in ways we cant even comprehend,","Irrelevant","הודיה עופרי;אריאל כהן","","","","","","","","","","","","","","","Irrelevant","","","","Irrelevant","","","","","","","","","","","","",""
ydo0nwxpf,"asan al-Basr   said: 
Every path has a shortcut, and the
short cut to Paradise is hd.,99.0","Irrelevant","אילון כהן;זיו חסון","","","","","","","","","","","","","Irrelevant","","","","","","","","","","Salafi jihadi","ז. אחר","","","","","","","",""
9b8io9a9m,"""""American embassies in the Islamic world are not like other embassies. Rather, they are embassies that perform an intelligence role and seek to extend American influence in Muslim lands. The ongoing war against Islam,  including the war against jihad (which they call terrorism) and the spread of the democratic creed,  is all planned from within these embassies.

American embassies present in Muslim lands have no legal (shar') status whatsoever. Indeed, the religious obligation requires severing relations with the American government and expelling its ambassadors, since it is a state at war with Islam and occupying Muslim lands.""

Shaykh Abu Mundhir as Shanqiti"",","Salafi jihadi","צבי גופרי;הילי חכמי","","","","","","","","","","","","","","","","","","","","","Salafi jihadi","ג. קריאה לג׳האד התקפי (לא הגנתי)","","","","","","","Salafi jihadi","ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות; ג. קריאה לג׳האד התקפי (לא הגנתי); ז. תמיכה בארגוני טרור","",""
ptf9vwurj,"Guidance Lost Through Shirk (Associating Partners with Allah)  |ClickDEE...  via @YouTube,","Salafi taklidi","ענה-יה אך;הודיה עופרי","","","","","","","","","","","","","","","","","","","Salafi taklidi","","","","","","","","Salafi taklidi","","","","",""
yaii85doi,"It is narrated from Abdullh ibn Amr that he said:

""A time will come upon the people, when they will gather in the mosques, yet there will not be a single believer within them.""

 || a al-Mustadrak No. #8585,98.0","Irrelevant","אריאל כהן;אילון כהן","","","","","","","","","","","","","Salafi taklidi","","Irrelevant","","","","","","","","","","","","","","","","",""
q5nu5mr49,"""EXPOSED: The Confused Epistemology of Dr Yasir Qadhi

New video just dropped,","Irrelevant","זיו חסון;צבי גופרי","","","","","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","Irrelevant","","",""
5l2jc55qo,""" Continuation of the 4-Part Series taking place in Nottingham

 The 3 Principles of Islm

 Ustdh Abu 'AbdirRahmn Hill

 Lesson 2 of 4: Monday 19th May @ 7pm

 The Vine Community Centre, Bobbersmill Road, NG7 5GZ

Brothers &amp; Sisters Welcome,","Salafi taklidi","הילי חכמי;ענה-יה אך","","","","","","","","","","","","","","","","","","","","","Salafi taklidi","","","","","","Salafi taklidi","","","","",""
t83ocjkxv,"""""It is far past time we Christians and Muslims unite on our shared similarities rather than fight over our minor differences. 

They spit on Christians and bomb the Muslims. Why are we deceived into hating each other by those who hate the Messiah?""
""
--------------

Shirk is not a minor difference

We only unite on Islam

Say, ""O People of the Scripture, come to a word that is equitable between us and you - that we will not worship except Allah and not associate anything with Him and not take one another as lords instead of Allah..."" [3:64],","Salafi taklidi","הודיה עופרי;אריאל כהן","","","","","","","","","","","","","","","Salafi taklidi","","","","Salafi taklidi","","","","","","","","","","","","",""
pkkjdyqlu,"Islam is the only true religion,","Irrelevant","אילון כהן;זיו חסון","","","","","","","","","","","","","Irrelevant","","","","","","","","","","Irrelevant","","","","","","","","",""
jqgmkqfrz,"#allah#love #respect  via @YouTube,","Irrelevant","צבי גופרי;הילי חכמי","","","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","","","Irrelevant","","",""
y2l322nwa,"""Never forget Gaza"",","Irrelevant","ענה-יה אך;הודיה עופרי","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","","","Irrelevant","","","","",""
551pxr1yc,"""Jonathan Hall KC, the UKs Independent Reviewer of Terrorism Legislation, stated in a speech that the ""demonisation of Israelis"" should be treated as a hate crime under existing laws.

Speaking at an event hosted by the think tank Policy Exchange, Hall argued that current legal frameworks are not being adequately enforced to protect Israeli citizens or those targeted based on their nationality.

Hall KC has a family connection to UK Lawyers for Israel (UKLFI) through his father-in-law, Lord Dyson.

Lord Dyson (John Dyson), a former Supreme Court judge and Master of the Rolls, is a patron of UKLFI.

These links were highlighted by critics and independent journalists in August 2025, leading to accusations of a potential conflict of interest given his role in reviewing terrorism laws that affect pro-Palestinian groups like Palestine Action."",85.0","Irrelevant","אריאל כהן;אילון כהן","","","","","","","","","","","","","Irrelevant","","Irrelevant","","","","","","","","","","","","","","","","",""
e5bkr0pxm,"Do Not Associate Anything With Allah |ClickDEEN360  via @YouTube,","Salafi taklidi","זיו חסון;צבי גופרי","","","","","","","","","","","","","","","","","","","","","","","Salafi taklidi","","","","","","Irrelevant","","",""
ta7ytm2g7,"""Zarqawi cutting their head off was understandable"",","Salafi jihadi","הילי חכמי;ענה-יה אך","","","","","","","","","","","","","","","","","","","","","Salafi jihadi","ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות","","","","","Salafi jihadi","ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות","","","",""
vu1whzsuj,"""Madinah Book 1 courses available
Starting soon
Email for more details 
Discounts available!,","Irrelevant","הודיה עופרי;אריאל כהן","","","","","","","","","","","","","","","Irrelevant","","","","Irrelevant","","","","","","","","","","","","",""
kujgzl88v,"""This is my will and my final message. If these words reach you, know that Israel has succeeded in killing me and silencing my voice. First, peace be upon you and Allahs mercy and blessings.

Allah knows I gave every effort and all my strength to be a support and a voice for my people, ever since I opened my eyes to life in the alleys and streets of the Jabalia refugee camp. My hope was that Allah would extend my life so I could return with my family and loved ones to our original town of occupied Asqalan (Al-Majdal). But Allahs will came first, and His decree is final. I have lived through pain in all its details, tasted suffering and loss many times, yet I never once hesitated to convey the truth as it is, without distortion or falsificationso that Allah may bear witness against those who stayed silent, those who accepted our killing, those who choked our breath, and whose hearts were unmoved by the scattered remains of our children and women, doing nothing to stop the massacre that our people have faced for more than a year and a half.

I entrust you with Palestinethe jewel in the crown of the Muslim world, the heartbeat of every free person in this world. I entrust you with its people, with its wronged and innocent children who never had the time to dream or live in safety and peace. Their pure bodies were crushed under thousands of tons of Israeli bombs and missiles, torn apart and scattered across the walls.

I urge you not to let chains silence you, nor borders restrain you. Be bridges toward the liberation of the land and its people, until the sun of dignity and freedom rises over our stolen homeland. I entrust you to take care of my family. I entrust you with my beloved daughter Sham, the light of my eyes, whom I never got the chance to watch grow up as I had dreamed.

I entrust you with my dear son Salah, whom I had wished to support and accompany through life until he grew strong enough to carry my burden and continue the mission.

I entrust you with my beloved mother, whose blessed prayers brought me to where I am, whose supplications were my fortress and whose light guided my path. I pray that Allah grants her strength and rewards her on my behalf with the best of rewards.

I also entrust you with my lifelong companion, my beloved wife, Umm Salah (Bayan), from whom the war separated me for many long days and months. Yet she remained faithful to our bond, steadfast as the trunk of an olive tree that does not bendpatient, trusting in Allah, and carrying the responsibility in my absence with all her strength and faith.

I urge you to stand by them, to be their support after Allah Almighty. If I die, I die steadfast upon my principles. I testify before Allah that I am content with His decree, certain of meeting Him, and assured that what is with Allah is better and everlasting.

O Allah, accept me among the martyrs, forgive my past and future sins, and make my blood a light that illuminates the path of freedom for my people and my family. Forgive me if I have fallen short, and pray for me with mercy, for I kept my promise and never changed or betrayed it.

Do not forget Gaza And do not forget me in your sincere prayers for forgiveness and acceptance.

Anas Jamal Al-Sharif
06.04.2025

This is what our beloved Anas requested to be published upon his martyrdom."",","Irrelevant","אילון כהן;זיו חסון","","","","","","","","","","","","","Irrelevant","","","","","","","","","","Irrelevant","","","","","","","","",""
1s5t4dulh,"""This lecture will examine the claims of the Quranists. Insha Allah. 

Those who reject the Sunnah as a source of Islamic legislation while claiming to follow the Quran alone.

This doctrine stands in blatant contradiction to the commands of the Quran itself."",","Irrelevant","צבי גופרי;הילי חכמי","","","","","","","","","","","","","","","","","","","","","Salafi jihadi","ח. אחר","","","","","","","Irrelevant","","",""
k5v11491i,"Idlib, Syria,","Irrelevant","ענה-יה אך;הודיה עופרי","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","","","Irrelevant","","","","",""
8hnqn98ho,"#surahmuzamil #viral #explorepage  via @YouTube,","Irrelevant","אריאל כהן;אילון כהן","","","","","","","","","","","","","Irrelevant","","Irrelevant","","","","","","","","","","","","","","","","",""
codv2x3dc,"""              #Shorts 

By Sh. Abu Khadeejah Abdul-Whid  
@AbuKhadeejahSP 

#Salafi #Salafirecording #Salaf #Muslim #Islam #Quran #Sunnah #Salafiyyah #Mother #Parents #Family"",","Salafi taklidi","זיו חסון;צבי גופרי","","","","","","","","","","","","","","","","","","","","","","","Salafi taklidi","","","","","","Salafi taklidi","","",""
tnw53b6wx,""" The Distinguishing Qualities of the Last Ten Nights of Raman  Abu Zayd Khlid (may Allh preserve him).

  

 - al-Allmah li al-Fawzn on the approach of the last ten nights of Raman.
- ishah    on the characteristics of the Prophet  during the last ten nights of Raman
 Special qualities of the last ten nights of Ramadn.
 Following the example of the Messenger  in removing ourselves from worldly distractions and striving in worship in these blessed nights.
 Ahdth on the virtues of Laylatul-Qadr.
 The mercy of Allh ( ) in His concealment of the exact night of Laylatul-Qadr.
 Our negligence when it comes to gaining the reward of Paradise.
 The specific du to be said plentifully on Laylatul-Qadr.
 The meaning of afuww.
 The sunnah of performing itikf in these blessed nights.
 Acts of worship we should perform plentifully in the last ten nights."",","Salafi taklidi","הילי חכמי;ענה-יה אך","","","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","Salafi taklidi","","","","",""
efud289j5,""" We need your help to complete all electrical work in the Masjid = 35,000

Donate by Apple Pay / Google Pay / PayPal / Debit Card / Bank Transfer.

 WORLDWIDE Donations:
 
Link: 

 PAKISTAN bank transfer:,","Irrelevant","הודיה עופרי;אריאל כהן","","","","","","","","","","","","","","","Irrelevant","","","","Irrelevant","","","","","","","","","","","","",""
jwx8jitc8,"""What a scandal! A police chief has been bullied into retirement for daring to put the safety of British citizens in Birmingham first above the needs of foreign hooligans known for racism and Islamophobic chanting.

This is the latest disgraceful example of the UK Labour government putting Israeli interests first to the great detriment of British people."",89.0","Irrelevant","אילון כהן;זיו חסון","","","","","","","","","","","","","Irrelevant","","","","","","","","","","Irrelevant","","","","","","","","",""
cqio9q4rc,"""There is no famine.""

If you say so, there are ALOT of things that NEVER happend in history, EXAGGERATED numbers, NUMERAL impossibilities, FAKE data, propaganda to create sympathy for ulterior motives that have been achieved etc. 

""There was no..."",","Irrelevant","צבי גופרי;הילי חכמי","","","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","","","Irrelevant","","",""
8cqviz9sv,"""New 1-1 Quran Classes for Males! 

Register Now to start your Road to Quran,","Irrelevant","ענה-יה אך;הודיה עופרי","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","","","Irrelevant","","","","",""
