text,id
"""              #Shorts 

By Sh. Abu Khadeejah Abdul-Whid  
@AbuKhadeejahSP 

#Salafi #Salafirecording #Salaf #Muslim #Islam #Quran #Sunnah #Salafiyyah #Mother #Parents #Family""",
""" The Distinguishing Qualities of the Last Ten Nights of Raman  Abu Zayd Khlid (may Allh preserve him).

  

 - al-Allmah li al-Fawzn on the approach of the last ten nights of Raman.
- ishah    on the characteristics of the Prophet  during the last ten nights of Raman
 Special qualities of the last ten nights of Ramadn.
 Following the example of the Messenger  in removing ourselves from worldly distractions and striving in worship in these blessed nights.
 Ahdth on the virtues of Laylatul-Qadr.
 The mercy of Allh ( ) in His concealment of the exact night of Laylatul-Qadr.
 Our negligence when it comes to gaining the reward of Paradise.
 The specific du to be said plentifully on Laylatul-Qadr.
 The meaning of afuww.
 The sunnah of performing itikf in these blessed nights.
 Acts of worship we should perform plentifully in the last ten nights.""",
""" We need your help to complete all electrical work in the Masjid = 35,000

Donate by Apple Pay / Google Pay / PayPal / Debit Card / Bank Transfer.

 WORLDWIDE Donations:
 
Link: 

 PAKISTAN bank transfer:",
"""What a scandal! A police chief has been bullied into retirement for daring to put the safety of British citizens in Birmingham first above the needs of foreign hooligans known for racism and Islamophobic chanting.

This is the latest disgraceful example of the UK Labour government putting Israeli interests first to the great detriment of British people.""",89.0
"""There is no famine.""

If you say so, there are ALOT of things that NEVER happend in history, EXAGGERATED numbers, NUMERAL impossibilities, FAKE data, propaganda to create sympathy for ulterior motives that have been achieved etc. 

""There was no...""",
"""New 1-1 Quran Classes for Males! 

Register Now to start your Road to Quran",
"""14 | #Ramadan1447 | REFLECTION: A PATH TO CERTAINTY AND FAITH | Shaykh Musa Jibril (  )
PDF: 
SRT:",
""" Alamdulillh, after years of work, my upcoming book OPERATION ARAB SPRING is finally near completion, inshAllh. Its one of the biggest and most important projects Ive ever worked on  A raw, unapologetic unveiling of the hidden hands, the real agendas, and the brutal truths buried beneath the bloodshed of the so-called spontaneous Arab ""revolutions"" that shattered the Muslim world. 

Between rejections and silence from multiple publishing houses in the US to publish my book due to ots content and certain words used, it became clear that i wont be able to have it published here, therefore Ill be self-publishing it overseas  because the truth will be told, with or without their approval, and inshAllh to be released at the upcoming Cairo International Book Fair 2026.

This is more than just a book. It's a thoroughly documented expos. No wild theories, no fantasies  only hard truths and insidious documented plots and betrayals that many would rather keep buried.

I know that publishing this book will bring me trouble, but inshAllh, I will still go forward with it. May Allah make it easy, grant me steadfastness, and bless me with a hijrah soon to the lands of Islam.

Afterward inshAllh I'll focus on completing the Khawrij encyclopedia by Allah's permission.

-Ab Islm al-Salaf al-Mir

 #OperationArabSpring #DivideAndConquer #Arabspring #History #SelfPublishing #Banned #Bannedbooks #Conspiracy""",
"""The Mawlid is an innovation",
#dua #fyp #quran #clickdeen360  via @YouTube,
Allah Does Not Forgive Shirk (Associating Partners with Allah)  |ClickDE...  via @YouTube,
Shirk Is a Great Wrong  |ClickDEEN360  via @YouTube,
"The Prophet  said:

""The month of Ramadan has come, a blessed month which Allah has obligated you to fast. The gates of paradise are open, the gates of Hellfire are closed, the devils are chained, and in it is a night that is better than a thousand months.""

-Al-Musnad 7148.",
"""""CENTCOM Update

TAMPA, Fla.  Last night, a U.S. service member passed away from injuries received during the Iranian regimes initial attacks across the Middle East. The service member was seriously wounded at the scene of an attack on U.S. troops in the Kingdom of Saudi Arabia on March 1.

This is the seventh service member killed in action during Operation Epic Fury. Major combat operations continue. The identity of the fallen warrior will be withheld until 24 hours after next of kin notification.""
""
--------------

What was a US soldier doing in Saudi Arabia..",
""" [Playlist] Two Raman Reminders Added.  

Shaykh @AbuKhadeejahSP: The Manhaj of Ahl al-adth in Correcting Errors & Mistakes. 

 Shaykh @AbuIdrees: Supporting & Aiding the Masjid & Markiz - Charity in Raman.    

 Raman 1447 | 2026: @MasjidSalafi & @AstonMasjid",
#daroodsharif #darood #daroodshareef #clickdeen360 #clickdeen #clickhadith  via @YouTube,
"""Tony Blair is a war criminal.

He played a key role in illegally drowning Iraq in blood and chaos.

That the ruins of Gaza should be ruled by bloodstained Western colonial masters is a historic disgrace.""",81.0
"It is Ramadan, and this vile deceiver will not stop lying and misleading others during this blessed month",
"""May Allah reward our brothers who keep the House of Allah clean and tidy. A righteous act with no fame or notoriety attached. May Allah accept it from them and reward the one who wrote this kind message.",
"#islamicreminder , #quran #clickdeen360  via @YouTube",
"""JUST IN: SCOTT RITTER SAYS NETANYAHU BROTHER DEAD AND BEN GVIR INJURED

Last night the Iranians strike the home of Benjamin Netanyahu - they killed his Brother

They struck the home of Ben-Gvir - he seriously injured he may not survive - the BBC said he was in a car accident",
"May Allah protect our countries, the Muslims, the weak, the oppressed, the innocent and deal with the wicked oppressors",
"""Allah does not let down a hand that was raised to Him.",65.0
"""@shababalhanbali Loool, how low will you guys go?

Imam Bukhari literally wrote a whole book on refutation against those who have similar beliefs as the ashaira.

Also in his Sahih he brings some of the salafs statements about the istiwa of Allah, clearly affirming it on its apparent meaning",5.0
"One last AN/TPY-2 Radar in the region. 

Morale highest than ever...",
"The destruction of a US Navy geodesic radome by an IRCG ""SHAHED-136"" UAV in the NSA of the 5th fleet, Bahrain.

 Coordinates:
26.20703056, 50.60979722",
"""No matter what happens in the world, dont let it stop you from increasing your acts of worship during this blessed Ramadan""",
"""SNEAKO goes OFF on PBD interrupting Terrence Howard opening up about having int*rcourse at 4 yrs old, asking if the females were Muslim 

""They weren't even Muslim dumb id*ot! Terrence Howard is revealing his childhood trauma and PBD is using this as an opportunity to push anti-MusIim propaganda. You see this coordinated effort?""""",
Loving Others Like Allah Is Shirk |ClickDEEN360  via @YouTube,
"""""#Taliban spokesman Zabihullah Mujahid to Radio Tehran: We hope the war between US and #Iran does not occur. However, if such a conflict happens, Iran will emerge victorious and #Afghans will cooperate with Iranian people to fullest extent of our capabilities. 
""
--------------

The Taliban and their Rafidha brothers Mushriks in one camp.  Ya Allah destroy them like you destroyed the people of Madyan",
None Worthy of Worship Except Allah |ClickDEEN360  via @YouTube,
"""Exciting Announcement for Manchester!

Were delighted to announce the opening of our new location in Manchester. Visit us for an extensive selection of Authentic English Literature and Prophetic Medicine.

The Salafi Bookstore & Islamic Centre Manchester

Address: 100 Claremont Road, Moss Side, Manchester, M14 4RR
Tel: 01612220850
Email: manchester@salafibookstore.com""",
#IslamicReminder #Quran #Health #selfdestruction  via @YouTube,
"""Shaykh Ahmad Musa Jibril warns against those who misuse statements of scholars to make mass Takfir.

Note: This is NOT in reference to falling into clear kufr like Shirk without valid Ikrah (coercion).",
"""Iran vs United States",
"""We visited Dallori Balla, a remote village in Swabi where landslides caused by the floods killed 37 villagers, including 13 members of one household
We found a young boy there that constantly sits on the rubble of his house where all of his family perished, may Allh bless him

PayPal  

DonorBox",
"""Statement on the Tragic Terror Attack in New Orleans",
"""""Haqiqatjou has to be the least masculine anti-lgbt and anti-feminist, constantly engaging in zesty and bizarrely feminine behavior, emulating women in voice and gestures, with endless snorts and other unbearable sound effects. This guy is such a psyop. 
""
--------------

It is genuinely laughable. This zindiq Haqiqatjou postures as some kind of giga chad because he loudly attacks liberalism, yet the moment shirk and Rafidism appear he turns into a full-blown simp. When tawhid demands an actual backbone, he completely collapses, waters down the creed, prostitutes Athari principles, and humiliates himself by twisting every line of belief just to accommodate every mushrik zindiq, all in the name of a hollow, fraudulent unity.  He has even adopted their majoosi lingo (Wahhabi takfiri this and that) and their effeminate mannerisms.",40.0
"""Is This Your Thanks to Allah?",
#allah  via @YouTube,
""" 2 Short Reminders Added.
Raman 1447 | 2026  Daily Reminders  Birmingham: @MasjidSalafi  &amp; @AstonMasjid",
"""Shaykh Muqbil never mentioned specific rulers., absolute copium, here he called specific people Tawagheet. The brainlets have 2 options

1. Claim he retracted these statements (They are all on his website) &amp; admit he was a Khariji before this.

2. Accept that this was his view.""",
I am looking for fluent Arabic speakers who can translate into English. DM me if interested,3.0
"""Katie Johnson  was just 13, looking to be a model in New York. Ghislaine Maxwell lured her to Jeffrey Epsteins 71st St townhouse, where Trump raped her in 1994. Its all there in the Epstein files. She was interviewed by the FBI. They covered it up.",
"""We were visited on site by an elderly uncle today who lived across the road. He said since he's got older it has become difficult for him to walk far, and he can longer pray in jama'ah. He said he's been making du'a that Allh opens a Masjid near his house so he can start going for his salah again. 

When we informed him of the salawat, duroos and children's classes we have planned, he became emotional and said he'd inform his family so they can donate so we can open quicker for him to re-establish his prayers in jama'ah after all these years!

This is where your donations will be going inshAllh. Let TODAY be the day! Be the one who is compensated by Allh due to the charity you gave to our Markaz campaign! Donate generously NOW for the sake of Allh! 

Dont delay in clicking this link  & giving a portion of the wealth that Ar-Razq gave you!""",
"Posting Othman Khabeeth in pics with martyred Syrian fighters doesnt change fact that he called the soldiers of Kuwait fighting for American interests Murabitun lol 
You can cope as long as you want but Khabeeth called out Hamas for aligning with Iran 
Allah exposes him and you",
Madkhals never surprise me with their nifq,101.0
"To them - defending awght who replace and abolish the Sharah is part of the Sunnah that none may defy, and anyone who is willing to defend Muslims from aggression of kuffr is a ""khrij"" and/or ""emotional.""

 .",102.0
"""May Allah bring the downfall of Benjamin Netanyahu next",
"""Increase in your supplications during this blessed month...",
"""@HaqqRemains_ Retracting ones opinion on this issue is a common matter among scholars, and it differs from the thinking of Daesh, who carry out istitabah because of it and consider anyone who permits it to be automatically a disbeliever..""",
Your Duty Ends at Conveying  |ClickDEEN360  via @YouTube,
"""BREAKING: Tony Blair has been appointed to the Gaza Board of Peace after Satan was unavailable and Genghis Khan said ""no"" because he thought it might be harmful to his reputation x",84.0
"""""Little Mai and her mother ask for your continued support. Winter has arrived, their living conditions are harsh, and Ramadan is approaching while donations are very limited. Please consider donating and sharing to help make a difference. 

Please spare 5 if you can 
""
--------------

Keep our little sister Mai and her mother in your dua's and continue to donate for the sake of Allaah BarakAllahu Feekum",53.0
"""That's my position too. There is no contradiction in takfiring Rawafid, particularly their leaders, yet still standing with them against Zionists. This is different from the approach of shirk defenders like the zindiq Daniel Haqiqatjou, who went as far as painting Khamenei and his cult as some sort of heroes of Islam and canonising him into a martyr saint.

So there are two extremes:

- Those cheerleading this attack on Iran, although most casualties are innocent civilians, including Sunnis.

- Those who try to water down all the crimes and shirk of the Rawafid.

As Muslims, we should support even mushrik Christian non-Zionists against Zionists and, by extension, Rawafid. However, that does not mean we cannot takfir them or expose their kufr and falsehood (notice how the Sudani general at the end did not even add takfir for the Rawafid).""",
#dua #viral #trending #foryou  via @YouTube,
#islamicreminder #quran #health #healthyfood #halalfood  via @YouTube,
"""25 | #Ramadan1447 | ALLAH WILL ANSWER THIS SUPPLICATION | Shaykh Musa Jibril (  )
PDF:",
""" How to be Certain that You Catch Laylatul-Qadr",
"Shaykh Sad bin Zuayr, one of the students of Shaykh amd bin Uql ash-Shuayb, mentioned that Shaykh Muammad ibn Ibrhm would not issue a fatw until he presented it to his student Shaykh amd bin Uql.",11.0
"""Shaykh li al-Fawzn speaks about those who allow the disbelievers into the lands of muslims when assisting them against the muslims and how this is disbelief even if he hates their religion.

Interestingly, he then speaks about those who bring them in and enabled them to build churches and the likes, and this is what he says :

_

Shaykh Sulaymn ibn Abd Allh ibn Muammad ibn Abd al Wahhb said: [That if someone openly displays their] agreement with their religion [of the Mushrikin]

Shaykh li al-Fawzn said: Meaning: He enabled them [the mushrikin] to establish churches in the lands of the Muslims, and granted them freedom, and said to the Muslims: Do not prevent them from anything; whatever they request from you, comply with it. This is mudhanah, because our religion forbids this.



Shaykh Sulaymn ibn Abd Allh ibn Muammad ibn Abd al-Wahhb said: [And if he does this then] indeed he is a disbeliever like them.

Shaykh li al-Fawzn commentates: Because he enabled the [religion of the] disbelievers and was pleased with their religion, and he forewent what the religion of Islm obliged upon him  namely disassociating the religion of the disbelievers and disavowing it. He did not disavow it; rather, he permitted it, justified it, and granted them freedom [to establish their religion] in the lands of the Muslims.

Shaykh Sulaymn ibn Abd Allh ibn Muammad ibn Abd al-Wahhb said: [And if he does this then indeed he is a disbeliever like them] even if he detests their religion and hates them.

Shaykh li al-Fawzn commentates: Meaning: if he loves their religion, then this makes him a disbeliever (kfir), an apostate, if he establish them. And if he establishes them while he hates their religion, then this act of his constitutes apostasy from Islm, because he has assisted them against the Muslims.

        (31,32)""",
"""When you want to commit a war crime, you appoint a war criminal.",76.0
"""Inside the New York Town Invaded by Welfare-Addicted Jews...",27.0
"""Shia vs Yahd: The War Between Two Friends

Ustadh Abu Ousayd",
"""""A Messege From Shamsi To Br Sneako
@DusDawah 
""
--------------

Zindeeq Shamsi why is Murtad bin Salman praying for forgiveness and paradise for a Mushrik Rafidhi?",
"""Remember all those moronic Madkhalis blindly defending their lord MBS? Some claiming the photo is fake, some claiming its a completely different guy, some claiming its AI. The original photo was released in the recent Epstein file dump by the American (in)justice department. 



Keep in mind, this meeting occurred after he was a convicted sex offender. This is who your Taghut MBS spends his time with, and whom your rabbis bootlick and condition Salafiyyah with. Look at that beaming smile! A picture of close friends. 

May Allah continue to expose these Tawagheet.""",
"""""Hey @grok , remove the flag that kills children 
""
--------------",57.0
"""Those happy with the bombing of Iran &amp; the killing of the khabith Ali Khamenei need to be remember what the apostate Arab &amp; Gulf states have done to Ahlus-Sunnah &amp; the Muwahideen!

These tawagheet are two sides of the same coin, anyone who can not see this reality is an imbecile""",
"""Audio lectures: #Zakat and Its Rulings In Islam by @AbuKhadeejahSP 
#Ramadan",
""" The Odd Nights Of Raman Cannot Be Known With Certainty

By Sh. Ab akeem Bill Davis @AbuHakeemBilal   

Read more here: 

Dont limit your search for Laylatul Qadr to the commonly mentioned odd nights. If Raman is 29 days, the last ten begin on the 20th night, meaning what we count as even could actually be among the nights intended in the narrations.

Start striving from the 20th night onward and seek the blessing of every night of the last ten. The reward is too great to gamble with.""",
Those Who Worship Others Besides Allah Are Misguided |ClickDEEN360  via @YouTube,
"""On this day in 1961, the US, UK and Belgium assassinated Patrice Lumumba, the first democratically elected leader of the Republic of Congo, because he sought to restore national control over the country's mineral reserves. Remember Lumumba!",23.0
