text,label_Salafi jihadi,label_Salafi taklidi,label_Irrelevant,max_prob,model_decision
"""How neuroscientist Dr. Aafia Siddiqui was sold to the CIA ? Here is an exciting podcast that brings to the forefront Aafia's story.
This is one of dozens of tragic stories of Arab & Muslim scientists, who were kidnapped because of their scientific specialties !!

 @CliveSSmith   
@themuslimvoteuk 

  via @YouTube""",7.754862e-05,0.0047195484,0.9952029,0.9952029,Irrelevant
"""   !     
#Boycott_Nagad

 @Save0urSisters",0.11792497,0.0017106367,0.88036436,0.88036436,Irrelevant
"""As ridiculous as it seems, Amynes faults were,
 
1. Refused to work for CIA, 
2. Not a Nepo, 
3. Walked on a street another suspect walked.

Sentenced for 27 years for the above crimes. 

A Father of 4 kids, a Husband, a Son, &amp; a beloved Brother &amp; a Friend of many. #Injustice",7.65026e-05,0.00035574145,0.9995678,0.9995678,Irrelevant
"""""BREAKING: The United Arab Emirates said it quit OPEC and OPEC+, dealing a heavy blow to the oil exporting groups and their de facto leader, Saudi Arabia, at a time when the Iran war has caused a historic energy shock and unsettled the global economy  
""
--------------

Bin Bayyah (ft Faris Hammadi) VS Sulaymaan ar-Ruhayli showdown pending.",0.99772364,6.0246253e-05,0.002216062,0.99772364,Salafi jihadi
"Certain people are given clear proof of Muslim members of govt (people who make decisions for a Muslim population) mocking the religion &amp; supporting secularism, &amp; their first reaction is to defend the rulers &amp; mention Khawarij. Their Fitrah has been flipped upside down.",0.00054393156,0.16819854,0.8312575,0.8312575,Irrelevant
"""Anyone that sees the UAE as a legitimate Muslim government that one is obliged to hear and obey, is politically and theologically ignorant, and hes a Madkhali.""",0.97610486,0.0077028847,0.016192323,0.97610486,Salafi jihadi
Moroccan minister of justice Abdul Latif Wahbi says that a (unrelated) man &amp; woman being alone in a house is not a crime. He then refers to the Hadith of Shaytaan being the third of them &amp; mocks it by saying Give me the national identity card of Shaytaan.,7.0088325e-05,0.00025647346,0.9996735,0.9996735,Irrelevant
"""Yine bir kemalist zihniyetin zulm!

7 yanda bir kz renci, 22 Nisanda okulun son saatinde tren iin dar arlyor. renci trene katlmak istemediini ve insan suretinin olmas nedeniyle orada bulunmak istemediini sylemitir. Devamnda bayraa ve stiklal Marna saygl olduunu ifade etmitir. Dini inanc gerei insan suretinin nnde durmamas gerektiini ve ailesinin de bu tr eylerden holanmadn sylemitir.

Bunun zerine nbeti retmen durumu erkek mdr yardmcsna iletmi ve mdr yardmcs kzn kolundan tutup zorla tren alanna karmtr. Burada mdr yardmcs birok su ilemitir:

* ocuun beden dokunulmazln ihlal etmitir
* Cebir ve zor kullanmtr
* Kii zgrln kstlamtr
* Grevini ktye kullanmtr
* ocua psikolojik bask uygulamtr

Anayasamz kendi iinde elimektedir. Din ve inan hrriyeti maddesi vardr. Bu maddenin kapsam, bir kiinin Kurana ve hadislere iman etmesi ve emir ile yasaklarna uymasdr. rnek olarak bir renci teneffste namaz klmak isterse ve retmen buna izin vermezse bu su oluturur. Ayn ekilde insan suretinin nnde sayg duruunda bulunmak inancna gre yasak ise kimse bu yasa inemesi iin zorlayamaz.

Bu sadece Mustafa Kemal iin deil, kim olursa olsun ayndr. Gerekse Fatih Sultan Mehmet olsun, yine de fikri deimeyecektir. nk bu durum siyasi deil, dini bir inancn gerekliliidir.

Suret hakknda sahih hadisler ve ayetler vardr:

* Melekler, iinde kpek ve suret bulunan eve girmez. (Buhr, Mslim)
* Kyamet gn en iddetli azaba urayacak olanlar, suret yapanlardr. (Buhr, Mslim)
* Bu suretleri yapanlara kyamet gn azap edilecek ve Yarattklarnza can verin denilecektir. (Buhr, Mslim)

Objektif olmak gerekirse, kimisine gre lkeyi o kurtard, cumhuriyeti o kurdu; kimisine gre sarayn emriyle Samsuna kt, cumhuriyeti kurarken meclisi aniden toplayp dier vekillerin meclise gelmesini engelledi vs. Bu tartmalar bir kenara brakarak unu sylemek istiyorum:

Daha birka gn nce kck rencilerin arafn kt olduu ve mini etein uygar olduu el kadar ocuklara retilmeye alldn grdk. Kadnlara zgrlk bizim zamanmzda verildi diyerek rtl kadnlarn retmen olma zgrln acmaszca alabildiniz. Kurtulu savanda Mustafa Kemalin arkasnda Arap askerler vard grmediniz. Kurtulu savanda Krt kardelerimiz vard, sava sonrasnda bombalar Krtlere attnz. Kurtulu savanda cepheye yardm gtren arafl annelerimiz vard, imdi ayplyorsunuz.

Alkol alp, LGBTyi savunup, mini etek giymeyi uygarlk sanyorsunuz ok yazk. 

Yeniden dirili balad  !""",0.0020581998,0.2042242,0.79371756,0.79371756,Irrelevant
"""Bir retmen bir ocua zorla namaz kldrsa veya ezan okunurken ayaa kaldrp sayg duruunda bekletse yer yerinden oynar. Ne bakan kalr, ne mdr, ne de retmen. 

Peki Kemalist bir retmen kendi riteline bir ocuu zorladnda, zorlamakla yetinmeyip fiziksel iddet uyguladnda neden yer yerinden oynamyor? Neden Kemalistler dinlerine sahip kt kadar Mslmanlar kendi dinlerine sahip kmyor? 

Yoksa slamn Kemalizm kadar deeri yok mu?""",0.0006693076,0.99816614,0.0011645524,0.99816614,Salafi taklidi
""" zmir'de bir ortaokulda, CHP 1.Genel Bakan Mustafa Kemal'in bst nnde durmak istemeyen kz renciye ynelik bask uyguland.

Ailesinin de rzasyla okulun son saatindeki 23 Nisan trenine katlmak istemeyen 7. snf rencisi, iddiaya gre erkek mdr yardmcs tarafndan zorla tren alanna indirildi.

rencinin inan hassasiyetleri ""siyasi tavr"" olarak filenerek nbeti retmen tarafndan tutanak yazld.

(Av.Yunus Ar)""",0.00019995258,0.9993517,0.00044840312,0.9993517,Salafi taklidi
"My Shaykh was a Wali of Allah, you dont understand.

The Shaykh hes talking about:",9.0405534e-05,0.9982399,0.00166968,0.9982399,Salafi taklidi
"""#BREAKING 
ISWAP Public Radio in Northeastern Nigeria announces that ISSP has captured Menaka.  
Al-Ra'id Radio, operating out of Buhairah Province within ISWAP, has claimed that the city of Menaka is under control of ISSP members.   
This suggests that Africa Corps and Mali has retreated from Menaka, however there has been no comment by the central command of the Islamic State, or their Amaq news agency.""",0.00027280365,9.182535e-06,0.999718,0.999718,Irrelevant
"""@JouroJetGuy Cos they hate the law of almighty Allah.
They are nothing bunch fanatics who fight for secularism and interest of Israel""",2.8329925e-05,0.00023761085,0.999734,0.999734,Irrelevant
"""@maghribii16 This is simply not true! JNIM also mobilized fighters from central Mali and Burkina Faso and fought alongside Tuareg Sahawat MSA and GATIA.

Nevertheless, IS-Sahel was able to defeat both JNIM and the Tuareg Sahawat at Menaka in 2023:",0.99961346,3.860717e-05,0.00034799313,0.99961346,Salafi jihadi
"""@griffithtofemto @adamhaklimiya @clashreport Not before I take your wealth and women as spoils.""",0.008867662,0.673905,0.31722736,0.673905,Salafi taklidi
"""@morbidtakfirism Ameeeeeen""",0.0012784094,0.96071875,0.03800284,0.96071875,Salafi taklidi
"""Update :

Two residents and an FLA official confirm that IS-Sahel has entered Menaka.
IS have set up checkpoints in some neighborhoods of the city and are moving back and forth in small groups on motorcycles. Residents of Menaka continue to go about their daily lives

(Reuteurs)",0.0025700042,0.00014772943,0.99728215,0.99728215,Irrelevant
The madkhalis and those like them will direct your arrows away from the kuffar towards the Muslims.,0.96807724,0.031823352,9.9305806e-05,0.96807724,Salafi jihadi
"""""Look at his care for the Muslims

Syria removed a ruler killing millions of Muslims &amp; his first thought was I have to Takfir the new ruler cuz we need another war

Calls Khawarij and OBL who kill Muslims Mujahideen

Says Muslims should suicide their countries and even-""
""
--------------

Obl who kills Muslims lol what a fool",0.9895013,5.2187523e-05,0.010446607,0.9895013,Salafi jihadi
"""""AMJ claims be can read intentions of Saudi rulers but not others

Claims OBL fights for Allah in Sha Allah instead of reading OBLs mind like he did for Saudi

Says Saudis intention was that they fought to support America and it wasnt actually to help Muslims  
""
--------------

These madkhalis have some sick obsession with the tawagheet, to the point where amj explains what he means and they still cant comprehend his simple words.",0.9985682,5.878526e-05,0.0013730215,0.9985682,Salafi jihadi
"Madkhalis when Muslims around the world are suffering

      

        

But when Saudi and uae and other rich Arab countries are harmed they somehow forget those ayat as if they dont exist",0.003945922,0.78630674,0.20974733,0.78630674,Salafi taklidi
"""Three major scholars of 60s-80s:

Every ruler who judges by other than the hukm of Allah &amp; His Messenger  is a Tght, a kfir in Allah.

Murjiah 2000s:

Khariji belief, its kufr dna kufr""",0.99589694,0.0030864365,0.0010166249,0.99589694,Salafi jihadi
"""""Bir ifti, satmak iin bir eek ve bir keiyi ehre gtryordu. Keinin boynunda bir ngrak vard.

 hrsz, iftinin getiini grd. 

Birincisi dedi ki: Keiyi alacam, hem de ifti fark etmeden.

kincisi dedi ki: Ben de eeini alrm.

ncs ise dedi ki:  Ben de onu tamamen soyacam.

Birinci hrsz gizlice keiye yaklat, ngra karp eein kuyruuna balad ve keiyi alp bir tarlaya gtrd.

Yolun ortasnda ifti arkasna bakt ve keinin kaybolduunu fark etti. Onu aramaya koyuldu.

kinci hrsz yanna gelip ne aradn sordu. ifti keisinin alndn syledi. 

Hrsz dedi ki: Az nce burada, u ormanda bir adamn keiyle kotuunu grdm. Yetimen kolay olur.

ifti, eeini ona emanet edip keisinin peine dt. Hrsz ise eei alp gitti.

ifti ormandan geri dndnde eeini de bulamad. Alamaya balad ve yoluna devam etti. Yolda, bir batakln kenarnda alayan bir adam grd. Ona ne olduunu sordu. 

Adam dedi ki: ehre altn dolu bir uval gtryordum. Dinlenmek iin burada oturdum. Uyuyunca uvala arptm, suya dt.

ifti, Neden karp almyorsun? dedi.

Adam: Sudan korkuyorum, yzme bilmiyorum. Ama karana yirmi altn veririm. dedi.

ifti sevindi: Allah bunu bana, keim ve eeimin kaybn telafi etmek iin verdi. dedi.

Elbiselerini karp suya indi. Ama altn dolu uval bulamad. Sudan ktnda ise elbiselerini de bulamad.

Bu da nc hrszn iiydi. Oda, iftinin elbiselerini almay baarmt.""

Bu hikye, insanlarn en ok zarar grd  durumu anlatr:

1-  Gaflet (Habersiz) annda arkadan gelen haner (darbe).

2-  Nasihat eder gibi grnp zehirleyen kiidir.

3- Duygulara oynayp insan kandran (aldatan) kiidir.""",0.00022204405,0.0022933502,0.99748456,0.99748456,Irrelevant
""" Imaginez certaines personnes de notre temps faire face  Umar Ibn Al-Khattab ^^

mar    sentit lodeur dune femme parfume qui tait sortie de chez elle, alors il lui dit : 

""Sortez-vous en tant parfumes ? Les curs des hommes sont au bout de leur nez ! Sortez plutt sans parfum !"" 

De mme, mar sentit une odeur de parfum venant du rang des femmes dans la mosque.

Il le leur a interdit et les menaa en disant :

""Du feu dans un dshonneur"" et il ne cessa de les menacer au point quune femme urina sur place [par peur].

         

 Rapport dans Mussanaf dAbd Ar-Razzq, n8107.
 Rapport dans Mussanaf dAbd Ar-Razzq, n8117.",0.0013388216,0.8556222,0.14303896,0.8556222,Salafi taklidi
"""Even though the Islamic Rituals were apparent in his lands, Sakhawi brings a semi ijma' on the takfir of Tamerlane for making the laws of Genghis Khan, the Yasiq constitution, the foundation to rule his government by.",0.9976367,9.478667e-05,0.0022685942,0.9976367,Salafi jihadi
"""""Syrians will never admit their animalistic tendencies and lack of respect for human life did this and has nothing to do with sectarianism. A lot of Assads soldiers were Sunni secular baathists.Torture and humiliation is the fabric of every Arab dictatorship.""
""
--------------

This is absolutely true 
Including the treatment of women 
Theres no difference between these secular identitarian Sunnis of Syria and the Egyptian soldiers under Sisi who are also ""Sunni"" and who were firing in Rabia at unarmed civilians
Or mad dog Uday, son of Saddam, and them",0.00035103815,8.944607e-06,0.99964,0.99964,Irrelevant
"""""Muawiyah al-Sayasneh, detained and tortured as a child in 2011, speaks at former regime officers hearing. 
""
--------------

The children who are tormented by the tyrants of the world today, will tomorrow bi idhni Allah trample upon the heads of the same tyrants",0.036786627,0.00014436379,0.9630691,0.9630691,Irrelevant
"""""Al-Qaeda-linked accounts claim JNIM affiliates are advancing on multiple fronts toward Malis capital Bamako, have captured key strategic locations, and are now moving on the presidential palace. Therere reports of the arrest of Minister of Defense, accounts claim. 
""
--------------

Sh Iyad Ghali has open Bayyah to Sh Haibatullah lol 
Theres even a video of his Bayyah
This is funny 
This is actually technically IEA conquering Mali
This is funny as its definitely not coordinated with IEA, nor do I believe that its endorsed by IEA 
May Allah unite the ranks",0.99856454,0.00033188297,0.0011035842,0.99856454,Salafi jihadi
"""""As expected, after several hours of fighting calm has returned to Bamako and its vicinity (Kati and Senou) after the intervention of the Malian Air Force and the Africa Corps, several JNIM militants were killed by the army and others lynched by crowds.""
""
--------------

There was no real intent by JNIM to take Bamako as it was strategically unimportant in greater scale of the conflict 
Why take it and become open targets for France and others when you can blockade it and extort money
Now global situation is a little bit different 
But well see",0.0017245343,1.4280206e-05,0.99826115,0.99826115,Irrelevant
"""""Thread of entites excommunicated by the Jolani organization(Jabhat al-Nusra, Jabhat Fateh al-Sham, Hayat Tahir al-Sham):""
""
--------------

Look at this and ask yourself how ppl can change literally overnight like this 
I remember a lecture by Ustad Yasir where he explains how a Mujahed that slept in caves like Sayyaf could lose his Iman 
How? By not wanting to lose his wealth that he gathered during his Jihad",7.578741e-05,0.00020922182,0.9997149,0.9997149,Irrelevant
"The fitna of wealth, power, and status can slowly but steadily change our character
Thats why its important to practice zuhd and purify our heart from diseases that, if left unchecked, will grow until they manifest in us turning our back from the religion in one way or another",8.296033e-05,0.9522023,0.047714695,0.9522023,Salafi taklidi
"When you point out the kufr and shirk of the awtthat are worshipped by the Madkhilah heretics

Instead of addressing, they start testing you on definitions and rulings of purification.

Look what Imm Muammad bin Abdul Wahhb and a senior perished Madkhal scholar said.",0.0047769686,0.99499595,0.00022700976,0.99499595,Salafi taklidi
"Rab al-Madkhal said,

Taking the foreign kfir nationality in place of the Islmic  some scholars have declared this to be kufr. Moreover, a person does not obtain this nationality except after pledging to submit to the laws of that country, along with loyalty and disavowal",0.998254,0.0017186042,2.7329055e-05,0.998254,Salafi jihadi
for its sake. He may even pledge to fight alongside them if the army of Islm advances upon a kafir country to confront their army  because he has become a soldier for the enemies of Allh.,0.009954436,0.01889754,0.97114795,0.97114795,Irrelevant
@ipin_and_upin @PiousCall @IbrmAnsari @O_A_G_1015 @PureAqidah @MrDeepInsight1 @Abu_Muhammad041 @SchizoPashtun @IslaamWinsAgain @Hazm_Tawhid @AboMuzani @arrow_427 @ARAFAT7494 @KashmiriHanbali @Fafcjtzqx,0.17286302,0.8270586,7.841598e-05,0.8270586,Salafi taklidi
"Ibn al-Qayyim mentions similar point as Shaykh Khlid, but in a different context:

This interpretation is weak, because the mere act of denying it is disbelief, whether one rules by it or does not rule.",6.632307e-05,0.99919146,0.0007422181,0.99919146,Salafi taklidi
"""""Just saw a woman who ran a salafi dawah page left islam 
      ""
""
--------------

Her posts reached millions because of idiots who gave her all the attention. There was no need to share nor comment on her post. 
Some Madhabists and Sufis  are attacking salafiyyah for her apostasy these animals will find any excuse to attack Salafis.",8.273443e-05,0.99943644,0.00048086222,0.99943644,Salafi taklidi
Just saw a woman who ran a salafi dawah page left islam,3.103198e-05,0.999366,0.00060302415,0.999366,Salafi taklidi
"""""One arguement mahabists might come with to the laypeople is that:

How do they learn fiqh if the four mahib are a bidah?

It can be responded to by asking them a simple question:

How did people learn fiqh before the existence of the four mahib???""
""
--------------

Madhabists fanatics should read this",0.0003026327,0.8673617,0.13233571,0.8673617,Salafi taklidi
"""""Al-Quaymi, the Shaykh if the anbals and a Mahabist.
This might be enough.
Because such speech necessitates all of the mahhib are correct in every issue, which is false and no one can deny that. 
""
--------------

Don't know who this brother is. May Allah protect him , his threads are really good.",3.763665e-05,0.99961025,0.0003521006,0.99961025,Salafi taklidi
"""""@mhnd3058 That's not correct! 
A. Certain Sharh of Kitab At Tawhid was banned not the book itself 
B. They beat many Shia's when they were doing anything against Qur'an and Sunnah in their mournings
C. The rest I never heard anything in that scale to be authentic.""
""
--------------

Sheikh Abu Ahmed Jamil ar Rahman Mukhlis   from Kunar province
 talked about kitab at tawheed last year when the Sufi regime banned it. 

 we will defend it and we will publish it too",0.9725437,0.027334472,0.00012173699,0.9725437,Salafi jihadi
"Now dua't are charging  people over 20 or $  to attend their ' marriage ' courses, wow.

How about get a real job? Or are you too lazy to work ? May Allah guide them.

These ' courses ' that they teach could be learnt on the internet or in your local mosques for free.",4.8033584e-05,0.0034220128,0.99653,0.99653,Irrelevant
"Sheikh   is one of the few ones in the west who teach real islam without sugar coating the deen.

Madkhalis and zandiqa out there are teaching how to bootlick tawaghit or busy dividing and misguiding the Muslim community.",0.9516965,0.04815303,0.00015045571,0.9516965,Salafi jihadi
"""""My brother Amjad Youssef didnt do anything wrong; hes just a first sergeant, 
This is what Amjads sister said. 
""
--------------

People like this wh0re are exactly why nusayris have no rights to exist. Its permissible to m*tilate them all, not a single one should be spared. Druze can hold it too",0.00015739075,0.0032550024,0.99658763,0.99658763,Irrelevant
"""Why is it always pro Gulf Mashaykh who say this?
Very easy
The Gulf today has same origins as Sykes Picot and colonial creation of Israel by Brit crusaders
They lived under Pax Britannica and now under Pax Americana
Thats why day and night they do nothing but attack Palestinians""",0.9914226,9.404521e-05,0.008483309,0.9914226,Salafi jihadi
Youre welcome lads,7.102283e-05,0.007514093,0.9924149,0.9924149,Irrelevant
"""""Whyd you get knocked out then if living with your wife is so bad?

Why wasnt your iron sharp? ""
""
--------------

Zoolafi redpiller vs Barelvigger/rafidhi redpiller",0.00495299,0.98900324,0.0060437643,0.98900324,Salafi taklidi
"""Imam Abu Hanifah and Qadi Abu Yusuf   both agreed anyone who says, The Quran is created is a kafir.
Mukhatasar Al-Uluw li Imam Dhahabi with the tahqiq of Al-Albani, p.156",0.044633154,0.9551297,0.00023713971,0.9551297,Salafi taklidi
"""yeah totally why you spread lies about people that could floor you irl

fat tub of lard""",2.5371584e-05,0.00022755773,0.9997471,0.9997471,Irrelevant
We are red gold akhi,0.0003477204,0.30897486,0.6906774,0.6906774,Irrelevant
"""""These are the charlatan Traditional Azhari Sufis who get invited to the West to speak. Defenders &amp; legitimisers of the openly secular apostate Sisi. A fan of the usual deviants of course (Ali Gomaa, Habib Ali Jifri, Yusri Jabr). 
""
--------------

Shaykh Ahmed El Azharys nonsensical comment on Jordan Peterson. A whole bunch of waffle about pride, watering down the religion &amp; attempting to make people feel sorry for one of the heads of evil. These individuals are callers at the gates of hellfire.",0.0006338618,0.9976689,0.0016971406,0.9976689,Salafi taklidi
Traor looking at the Mali news rn,1.9924262e-05,0.00028829847,0.99969184,0.99969184,Irrelevant
"""Below is the Moroccan minister of religious endowments Ahmad at-Tawfeeq. He said the french minister said to him that secularism is shocking to Moroccans, at-Tawfeeq replied We are secularists, people are free to do what they want., &amp; said there is no coercion in religion.",0.0009925287,1.5603824e-05,0.9989919,0.9989919,Irrelevant
"Mishary al-Afasy &amp; others have repeatedly used the line We were attacked with thousands of missiles &amp; drones &amp; no one said anything.. Did these same people speak up when Iraq, Syria &amp; Afghanistan were being bombarded by planes that took off &amp; refueled at Gulf bases?",0.00015669905,0.0031363298,0.996707,0.996707,Irrelevant
"""""NEW: Amjad Youssef, one of the chief perpetrators of the 2013 Tadamon massacre in Damascus, has been detained by Syrian security forces. 

The Tadamon massacre took place on 16th April 16 2013, in the Tadamon neighbourhood of Damascus, when at least 288 Syrian civilians were brutally killed. 

The killings were carried out by members of the deposed Assad regimes military intelligence, who executed victims and buried them in mass graves.""
""
--------------

Jumuah Mubarakah.",0.068302855,7.659895e-05,0.9316205,0.9316205,Irrelevant
"Theyre so proud of their Nifaq &amp; Kufr, its truly sickening.",0.9967962,0.00041001872,0.0027937195,0.9967962,Salafi jihadi
"Lastly, many (if not most) people leave the religion not due to polemical Aqeedah debates, but fundamental issues which everyone who attributes themselves to Sunni Islam agree upon. We must remember that all of our hearts are between the fingers of ar-Rahman, may Allah guide us.",7.684107e-05,0.99265397,0.0072692195,0.99265397,Salafi taklidi
Unlike the madkhali slaves of the tawagheet Arab rulers sheikh albani affirms the salaf claiming that rebelling against the ruler IS permissible when there is clear kufr,0.98018414,0.019747356,6.8483685e-05,0.98018414,Salafi jihadi
"Madkhalis when it comes to billionaire Saudi princes and kings who commit major kufr including aiding the kuffar, 
we dont know whats in the heart,
But with a people born into war poverty and every kind of oppression, the condition of the heart doesnt cross their minds?",0.14336991,0.8552783,0.0013517899,0.8552783,Salafi taklidi
Lets say a prayer for the scholars in the pockets of the tawagheet being tested with the comfort of the dunya.,0.00013364898,0.022122445,0.97774386,0.97774386,Irrelevant
"""""People like Salim at-Tawil are the filthiest of the filthiest. 

You are not obligated to do anything for our brothers in Palestine""

Only people like Hamza Yusuf &amp; Bin Bayyah have outdone him in harming Palestinians. 
""
--------------

These traitors are worse than the magicians of firawn, they knowingly lie in favour of their false gods and distort the religion. May Allah humiliate them even more than he already has.",0.964351,0.00010056029,0.035548426,0.964351,Salafi jihadi
"These jami madkhalis think that Uthaymeen one who supported rebellion and criticised the rulers and even made takfeer of them for the same reasons the jihadis do, is one of them.",0.99880695,0.0011672269,2.581714e-05,0.99880695,Salafi jihadi
Look how cowardly these donkeys are online and in person. Madkhali raised some rats attack the righteous and hide in the bedrooms.,0.00012304525,0.011221978,0.988655,0.988655,Irrelevant
When sheikh uthaymeen was a khariji,0.62812537,0.37164888,0.00022572448,0.62812537,Salafi jihadi
"""@Haqiqatjou May Allh punish you""",0.23943295,0.7604722,9.486774e-05,0.7604722,Salafi taklidi
"""@batemanexoxo @Maul18BBY @maghribii16 Yeah, I'm not saying that the situation in Mali will give IS the opportunity to conquer Niger, but they will definitely benefit in the form of more freedom of operation and greater influence if Russian support for the Nigerien regime weakens.""",0.025462775,4.5479046e-05,0.97449183,0.97449183,Irrelevant
"""@britishfellow30 @Minalami The entire statement is secular from beginning to end. They condemn what they say is ""human rights violations"". They ask for the international &amp; nation political scene to intervene for a ""credible &amp; encompassing political solution"". This is a secular nationalist group.""",2.9683471e-05,0.00050434406,0.999466,0.999466,Irrelevant
"""@taeofbangtanss @BabaGamg @AkwaIbomMuslim Alhumdulilah, I have 2 wives and kids. I know you're hurting inside hearing this news. But they are completely obedient and follow the rules set down by revelation. Alhumdulilah they're not feminist whore like you infidels""",0.000115872535,0.99924016,0.0006440068,0.99924016,Salafi taklidi
"""@Jvnior Bro is literally begging now. You have been exposed alhumdulilah""",0.00039727186,0.18340003,0.8162027,0.8162027,Irrelevant
"""According to Shaykh Ibn Uthaymn:

The one who commits fornication and boasts about it must be called to repentif he does not, he is to be killed. 

Boasting openly shows he considers it allwhich amounts to kufr. 

He gives the example of people traveling to a Bangkok.",0.9880144,0.011218081,0.0007674005,0.9880144,Salafi jihadi
